"Timestamp";"UNIX-Timestamp";"1-0:1.4.0*255";"1-0:1.8.0*255";"1-0:2.4.0*255";"1-0:2.8.0*255";"1-0:3.4.0*255";"1-0:3.8.0*255";"1-0:4.4.0*255";"1-0:4.8.0*255";"1-0:9.4.0*255";"1-0:9.8.0*255";"1-0:10.4.0*255";"1-0:10.8.0*255";"1-0:13.4.0*255";"1-0:14.4.0*255";"1-0:21.4.0*255";"1-0:21.8.0*255";"1-0:22.4.0*255";"1-0:22.8.0*255";"1-0:23.4.0*255";"1-0:23.8.0*255";"1-0:24.4.0*255";"1-0:24.8.0*255";"1-0:29.4.0*255";"1-0:29.8.0*255";"1-0:30.4.0*255";"1-0:30.8.0*255";"1-0:31.4.0*255";"1-0:32.4.0*255";"1-0:33.4.0*255";"1-0:41.4.0*255";"1-0:41.8.0*255";"1-0:42.4.0*255";"1-0:42.8.0*255";"1-0:43.4.0*255";"1-0:43.8.0*255";"1-0:44.4.0*255";"1-0:44.8.0*255";"1-0:49.4.0*255";"1-0:49.8.0*255";"1-0:50.4.0*255";"1-0:50.8.0*255";"1-0:51.4.0*255";"1-0:52.4.0*255";"1-0:53.4.0*255";"1-0:61.4.0*255";"1-0:61.8.0*255";"1-0:62.4.0*255";"1-0:62.8.0*255";"1-0:63.4.0*255";"1-0:63.8.0*255";"1-0:64.4.0*255";"1-0:64.8.0*255";"1-0:69.4.0*255";"1-0:69.8.0*255";"1-0:70.4.0*255";"1-0:70.8.0*255";"1-0:71.4.0*255";"1-0:72.4.0*255";"1-0:73.4.0*255"
"Timestamp";"UNIX-Timestamp";"Active power+";"Active energy+";"Active power-";"Active energy-";"Reactive power+";"Reactive energy+";"Reactive power-";"Reactive energy-";"Apparent power+";"Apparent energy+";"Apparent power-";"Apparent energy-";"Power factor";"Supply frequency";"Active power+ (L1)";"Active energy+ (L1)";"Active power- (L1)";"Active energy- (L1)";"Reactive power+ (L1)";"Reactive energy+ (L1)";"Reactive power- (L1)";"Reactive energy- (L1)";"Apparent power+ (L1)";"Apparent energy+ (L1)";"Apparent power- (L1)";"Apparent energy- (L1)";"Current (L1)";"Voltage (L1)";"Power factor (L1)";"Active power+ (L2)";"Active energy+ (L2)";"Active power- (L2)";"Active energy- (L2)";"Reactive power+ (L2)";"Reactive energy+ (L2)";"Reactive power- (L2)";"Reactive energy- (L2)";"Apparent power+ (L2)";"Apparent energy+ (L2)";"Apparent power- (L2)";"Apparent energy- (L2)";"Current (L2)";"Voltage (L2)";"Power factor (L2)";"Active power+ (L3)";"Active energy+ (L3)";"Active power- (L3)";"Active energy- (L3)";"Reactive power+ (L3)";"Reactive energy+ (L3)";"Reactive power- (L3)";"Reactive energy- (L3)";"Apparent power+ (L3)";"Apparent energy+ (L3)";"Apparent power- (L3)";"Apparent energy- (L3)";"Current (L3)";"Voltage (L3)";"Power factor (L3)"
"";"";"W";"Wh";"W";"Wh";"var";"varh";"var";"varh";"VA";"vah";"VA";"vah";"(unitless)";"Hz";"W";"Wh";"W";"Wh";"var";"varh";"var";"varh";"VA";"vah";"VA";"vah";"A";"V";"(unitless)";"W";"Wh";"W";"Wh";"var";"varh";"var";"varh";"VA";"vah";"VA";"vah";"A";"V";"(unitless)";"W";"Wh";"W";"Wh";"var";"varh";"var";"varh";"VA";"vah";"VA";"vah";"A";"V";"(unitless)"
Mon Aug 16 00:00:02 2021;1629064802.473467122;290.5;28743137.0;0.0;123764608.5;0.0;6434952.5;279.5;13695437.2;403.2;33564760.9;0.0;125036970.6;0.721;49.967;157.5;9419866.5;0.0;40767609.1;0.0;2138536.1;90.9;5763573.1;181.9;11572775.3;0.0;41167285.0;0.854;229.687;0.866;31.6;5771124.7;0.0;43659022.8;0.0;2130152.0;82.5;5457905.1;88.4;8258006.4;0.0;44202574.2;0.415;229.888;0.358;101.4;15563890.0;0.0;41349720.8;0.0;2935489.3;106.1;3243184.1;146.8;17079306.1;0.0;41802835.8;0.868;229.604;0.691
Mon Aug 16 00:01:01 2021;1629064861.473148587;290.1;28743141.7;0.0;123764608.5;0.0;6434952.5;280.1;13695441.8;403.3;33564767.5;0.0;125036970.6;0.719;49.943;156.0;9419869.1;0.0;40767609.1;0.0;2138536.1;91.1;5763574.6;180.7;11572778.3;0.0;41167285.0;0.844;229.634;0.864;31.5;5771125.2;0.0;43659022.8;0.0;2130152.0;82.6;5457906.4;88.4;8258007.9;0.0;44202574.2;0.414;229.895;0.356;102.6;15563891.6;0.0;41349720.8;0.0;2935489.3;106.5;3243185.8;147.8;17079308.5;0.0;41802835.8;0.872;229.597;0.694
Mon Aug 16 00:02:01 2021;1629064921.932240032;289.2;28743146.6;0.0;123764608.5;0.0;6434952.5;278.7;13695446.5;401.6;33564774.2;0.0;125036970.6;0.720;49.921;155.7;9419871.7;0.0;40767609.1;0.0;2138536.1;90.7;5763576.1;180.2;11572781.3;0.0;41167285.0;0.844;229.482;0.864;31.9;5771125.8;0.0;43659022.8;0.0;2130152.0;82.3;5457907.8;88.3;8258009.3;0.0;44202574.2;0.414;229.661;0.361;101.6;15563893.3;0.0;41349720.8;0.0;2935489.3;105.7;3243187.6;146.6;17079311.0;0.0;41802835.8;0.871;229.327;0.693
Mon Aug 16 00:03:01 2021;1629064981.917748234;288.9;28743151.7;0.0;123764608.5;0.0;6434952.5;278.6;13695451.1;401.4;33564781.2;0.0;125036970.6;0.720;49.921;155.9;9419874.3;0.0;40767609.1;0.0;2138536.1;90.7;5763577.6;180.3;11572784.3;0.0;41167285.0;0.844;229.398;0.864;31.8;5771126.3;0.0;43659022.8;0.0;2130152.0;82.2;5457909.2;88.1;8258010.8;0.0;44202574.2;0.414;229.618;0.361;101.3;15563895.3;0.0;41349720.8;0.0;2935489.3;105.8;3243189.4;146.4;17079313.7;0.0;41802835.8;0.869;229.280;0.692
Mon Aug 16 00:04:01 2021;1629065041.903681692;225.6;28743156.3;0.0;123764608.5;0.0;6434952.5;269.4;13695455.7;351.4;33564787.7;0.0;125036970.6;0.642;49.904;92.9;9419876.7;0.0;40767609.1;0.0;2138536.1;81.4;5763579.1;123.5;11572787.1;0.0;41167285.0;0.608;229.370;0.752;31.2;5771126.8;0.0;43659022.8;0.0;2130152.0;82.2;5457910.6;87.9;8258012.3;0.0;44202574.2;0.414;229.534;0.355;101.4;15563897.0;0.0;41349720.8;0.0;2935489.3;105.8;3243191.2;146.6;17079316.1;0.0;41802835.8;0.871;229.250;0.692
Mon Aug 16 00:05:01 2021;1629065101.889731644;426.1;28743160.3;0.0;123764608.5;0.0;6434952.6;71.2;13695460.0;432.0;33564793.7;0.0;125036970.6;0.986;49.921;293.8;9419878.5;0.0;40767609.1;116.5;2138536.3;0.0;5763580.4;316.0;11572789.5;0.0;41167285.0;1.412;228.961;0.930;31.8;5771127.3;0.0;43659022.8;0.0;2130152.0;82.1;5457911.9;88.0;8258013.7;0.0;44202574.2;0.415;229.315;0.362;100.5;15563898.7;0.0;41349720.8;0.0;2935489.3;105.6;3243192.9;145.8;17079318.6;0.0;41802835.8;0.865;229.123;0.689
Mon Aug 16 00:06:01 2021;1629065161.875573248;429.9;28743167.4;0.0;123764608.5;0.0;6434952.6;71.5;13695461.2;435.8;33564800.9;0.0;125036970.6;0.986;49.941;295.8;9419883.4;0.0;40767609.1;116.2;2138538.2;0.0;5763580.4;317.8;11572794.8;0.0;41167285.0;1.419;229.202;0.931;32.9;5771127.9;0.0;43659022.8;0.0;2130152.0;82.1;5457913.3;88.4;8258015.2;0.0;44202574.2;0.417;229.503;0.372;101.3;15563900.4;0.0;41349720.8;0.0;2935489.3;105.6;3243194.7;146.3;17079321.0;0.0;41802835.8;0.871;229.306;0.692
Mon Aug 16 00:07:01 2021;1629065221.876061247;419.4;28743174.5;0.0;123764608.5;0.0;6434952.6;72.2;13695462.4;425.6;33564808.1;0.0;125036970.6;0.985;49.913;286.4;9419888.2;0.0;40767609.1;114.8;2138540.1;0.0;5763580.4;308.5;11572799.9;0.0;41167285.0;1.379;229.120;0.928;31.6;5771128.4;0.0;43659022.8;0.0;2130152.0;81.9;5457914.7;87.8;8258016.7;0.0;44202574.2;0.413;229.407;0.360;101.4;15563902.1;0.0;41349720.8;0.0;2935489.3;105.1;3243196.4;146.0;17079323.4;0.0;41802835.8;0.870;229.121;0.694
