"Timestamp";"UNIX-Timestamp";"1-0:1.4.0*255";"1-0:1.8.0*255";"1-0:2.4.0*255";"1-0:2.8.0*255";"1-0:3.4.0*255";"1-0:3.8.0*255";"1-0:4.4.0*255";"1-0:4.8.0*255";"1-0:9.4.0*255";"1-0:9.8.0*255";"1-0:10.4.0*255";"1-0:10.8.0*255";"1-0:13.4.0*255";"1-0:14.4.0*255";"1-0:21.4.0*255";"1-0:21.8.0*255";"1-0:22.4.0*255";"1-0:22.8.0*255";"1-0:23.4.0*255";"1-0:23.8.0*255";"1-0:24.4.0*255";"1-0:24.8.0*255";"1-0:29.4.0*255";"1-0:29.8.0*255";"1-0:30.4.0*255";"1-0:30.8.0*255";"1-0:31.4.0*255";"1-0:32.4.0*255";"1-0:33.4.0*255";"1-0:41.4.0*255";"1-0:41.8.0*255";"1-0:42.4.0*255";"1-0:42.8.0*255";"1-0:43.4.0*255";"1-0:43.8.0*255";"1-0:44.4.0*255";"1-0:44.8.0*255";"1-0:49.4.0*255";"1-0:49.8.0*255";"1-0:50.4.0*255";"1-0:50.8.0*255";"1-0:51.4.0*255";"1-0:52.4.0*255";"1-0:53.4.0*255";"1-0:61.4.0*255";"1-0:61.8.0*255";"1-0:62.4.0*255";"1-0:62.8.0*255";"1-0:63.4.0*255";"1-0:63.8.0*255";"1-0:64.4.0*255";"1-0:64.8.0*255";"1-0:69.4.0*255";"1-0:69.8.0*255";"1-0:70.4.0*255";"1-0:70.8.0*255";"1-0:71.4.0*255";"1-0:72.4.0*255";"1-0:73.4.0*255"
"Timestamp";"UNIX-Timestamp";"Active power+";"Active energy+";"Active power-";"Active energy-";"Reactive power+";"Reactive energy+";"Reactive power-";"Reactive energy-";"Apparent power+";"Apparent energy+";"Apparent power-";"Apparent energy-";"Power factor";"Supply frequency";"Active power+ (L1)";"Active energy+ (L1)";"Active power- (L1)";"Active energy- (L1)";"Reactive power+ (L1)";"Reactive energy+ (L1)";"Reactive power- (L1)";"Reactive energy- (L1)";"Apparent power+ (L1)";"Apparent energy+ (L1)";"Apparent power- (L1)";"Apparent energy- (L1)";"Current (L1)";"Voltage (L1)";"Power factor (L1)";"Active power+ (L2)";"Active energy+ (L2)";"Active power- (L2)";"Active energy- (L2)";"Reactive power+ (L2)";"Reactive energy+ (L2)";"Reactive power- (L2)";"Reactive energy- (L2)";"Apparent power+ (L2)";"Apparent energy+ (L2)";"Apparent power- (L2)";"Apparent energy- (L2)";"Current (L2)";"Voltage (L2)";"Power factor (L2)";"Active power+ (L3)";"Active energy+ (L3)";"Active power- (L3)";"Active energy- (L3)";"Reactive power+ (L3)";"Reactive energy+ (L3)";"Reactive power- (L3)";"Reactive energy- (L3)";"Apparent power+ (L3)";"Apparent energy+ (L3)";"Apparent power- (L3)";"Apparent energy- (L3)";"Current (L3)";"Voltage (L3)";"Power factor (L3)"
"";"";"W";"Wh";"W";"Wh";"var";"varh";"var";"varh";"VA";"vah";"VA";"vah";"(unitless)";"Hz";"W";"Wh";"W";"Wh";"var";"varh";"var";"varh";"VA";"vah";"VA";"vah";"A";"V";"(unitless)";"W";"Wh";"W";"Wh";"var";"varh";"var";"varh";"VA";"vah";"VA";"vah";"A";"V";"(unitless)";"W";"Wh";"W";"Wh";"var";"varh";"var";"varh";"VA";"vah";"VA";"vah";"A";"V";"(unitless)"
Thu Jan 28 00:00:02 2021;1611788402.147143908;12491.7;25092553.8;0.0;101565305.5;2847.3;5185006.7;0.0;11862799.9;12812.1;29182772.3;0.0;102601036.0;0.975;50.018;2006.0;7936160.6;0.0;33684356.8;885.1;1686004.0;0.0;5100132.7;2192.6;9826719.4;0.0;34017339.2;9.459;232.634;0.915;2164.8;4835859.8;0.0;35900893.6;946.0;1711280.8;0.0;4838223.2;2362.4;7009734.8;0.0;36351690.8;10.271;231.457;0.916;8320.9;14143379.4;0.0;33802901.2;1016.3;2476640.5;0.0;2613362.9;8382.7;15347712.8;0.0;34156098.7;36.894;227.370;0.993
Thu Jan 28 00:01:01 2021;1611788461.640308914;12565.8;25092760.9;0.0;101565305.5;2940.4;5185055.1;0.0;11862799.9;12905.3;29182985.0;0.0;102601036.0;0.974;49.981;2066.3;7936194.6;0.0;33684356.8;975.9;1686019.8;0.0;5100132.7;2285.2;9826756.9;0.0;34017339.2;9.864;232.542;0.904;2181.1;4835895.5;0.0;35900893.6;950.1;1711296.6;0.0;4838223.2;2379.0;7009773.7;0.0;36351690.8;10.348;231.347;0.917;8318.5;14143517.0;0.0;33802901.2;1014.4;2476657.3;0.0;2613362.9;8380.1;15347851.4;0.0;34156098.7;36.897;227.280;0.993
Thu Jan 28 00:02:01 2021;1611788521.640640840;12513.9;25092969.6;0.0;101565305.5;2949.4;5185104.2;0.0;11862799.9;12856.7;29183199.4;0.0;102601036.0;0.973;49.946;2047.3;7936228.9;0.0;33684356.8;978.4;1686036.1;0.0;5100132.7;2269.0;9826794.8;0.0;34017339.2;9.783;232.688;0.902;2141.2;4835931.2;0.0;35900893.6;952.8;1711312.5;0.0;4838223.2;2343.6;7009812.8;0.0;36351690.8;10.191;231.474;0.914;8325.4;14143655.7;0.0;33802901.2;1018.2;2476674.3;0.0;2613362.9;8387.4;15347991.2;0.0;34156098.7;36.906;227.420;0.993
Thu Jan 28 00:03:02 2021;1611788582.140619319;12519.6;25093179.8;0.0;101565305.5;2944.8;5185153.8;0.0;11862799.9;12861.3;29183415.4;0.0;102601036.0;0.973;49.970;2046.1;7936263.3;0.0;33684356.8;973.6;1686052.5;0.0;5100132.7;2265.9;9826832.9;0.0;34017339.2;9.780;232.490;0.903;2148.8;4835967.0;0.0;35900893.6;953.6;1711328.6;0.0;4838223.2;2350.9;7009852.0;0.0;36351690.8;10.228;231.342;0.914;8324.7;14143795.6;0.0;33802901.2;1017.6;2476691.4;0.0;2613362.9;8386.7;15348132.1;0.0;34156098.7;36.930;227.254;0.993
Thu Jan 28 00:04:01 2021;1611788641.590507448;8810.0;25093335.0;0.0;101565305.5;0.0;5185161.6;134.7;11862801.7;8811.1;29183571.5;0.0;102601036.0;1.000;49.966;662.3;7936277.9;0.0;33684356.8;0.0;1686055.0;37.5;5100133.2;663.4;9826848.1;0.0;34017339.2;2.938;233.456;0.998;945.6;4835985.7;0.0;35900893.6;0.0;1711331.1;186.5;4838225.7;963.9;7009871.5;0.0;36351690.8;4.312;232.303;0.981;7202.1;14143917.5;0.0;33802901.2;89.3;2476695.3;0.0;2613362.9;7202.6;15348254.2;0.0;34156098.7;31.598;228.154;1.000
Thu Jan 28 00:05:01 2021;1611788701.577101514;8531.5;25093477.6;0.0;101565305.5;0.0;5185161.6;122.2;11862803.7;8532.4;29183714.1;0.0;102601036.0;1.000;49.953;385.2;7936285.0;0.0;33684356.8;0.0;1686055.0;24.4;5100133.6;386.0;9826855.3;0.0;34017339.2;1.813;233.756;0.998;947.9;4836001.3;0.0;35900893.6;0.0;1711331.1;186.5;4838228.8;966.1;7009887.5;0.0;36351690.8;4.320;232.367;0.981;7198.4;14144037.3;0.0;33802901.2;88.7;2476696.8;0.0;2613362.9;7198.9;15348374.0;0.0;34156098.7;31.557;228.335;1.000
Thu Jan 28 00:06:01 2021;1611788761.563338187;8599.3;25093620.4;0.0;101565305.5;0.0;5185161.7;125.3;11862805.7;8600.2;29183856.9;0.0;102601036.0;1.000;49.957;466.4;7936292.4;0.0;33684356.8;0.0;1686055.2;27.9;5100134.0;467.3;9826862.7;0.0;34017339.2;2.136;233.691;0.998;934.3;4836016.7;0.0;35900893.6;0.0;1711331.1;185.9;4838231.9;952.6;7009903.2;0.0;36351690.8;4.266;232.390;0.981;7198.6;14144157.4;0.0;33802901.2;88.6;2476698.3;0.0;2613362.9;7199.1;15348494.1;0.0;34156098.7;31.561;228.314;1.000
Thu Jan 28 00:07:01 2021;1611788821.548436557;8696.2;25093764.1;0.0;101565305.5;0.0;5185161.7;127.6;11862807.8;8697.1;29184000.7;0.0;102601036.0;1.000;49.949;464.0;7936300.2;0.0;33684356.8;0.0;1686055.2;29.4;5100134.5;464.9;9826870.5;0.0;34017339.2;2.142;233.838;0.998;933.9;4836032.0;0.0;35900893.6;0.0;1711331.1;185.9;4838234.9;952.2;7009918.7;0.0;36351690.8;4.264;232.508;0.981;7298.3;14144278.0;0.0;33802901.2;87.8;2476699.7;0.0;2613362.9;7298.8;15348614.7;0.0;34156098.7;31.983;228.410;1.000
