"Timestamp";"UNIX-Timestamp";"1-0:1.4.0*255";"1-0:1.8.0*255";"1-0:2.4.0*255";"1-0:2.8.0*255";"1-0:3.4.0*255";"1-0:3.8.0*255";"1-0:4.4.0*255";"1-0:4.8.0*255";"1-0:9.4.0*255";"1-0:9.8.0*255";"1-0:10.4.0*255";"1-0:10.8.0*255";"1-0:13.4.0*255";"1-0:14.4.0*255";"1-0:21.4.0*255";"1-0:21.8.0*255";"1-0:22.4.0*255";"1-0:22.8.0*255";"1-0:23.4.0*255";"1-0:23.8.0*255";"1-0:24.4.0*255";"1-0:24.8.0*255";"1-0:29.4.0*255";"1-0:29.8.0*255";"1-0:30.4.0*255";"1-0:30.8.0*255";"1-0:31.4.0*255";"1-0:32.4.0*255";"1-0:33.4.0*255";"1-0:41.4.0*255";"1-0:41.8.0*255";"1-0:42.4.0*255";"1-0:42.8.0*255";"1-0:43.4.0*255";"1-0:43.8.0*255";"1-0:44.4.0*255";"1-0:44.8.0*255";"1-0:49.4.0*255";"1-0:49.8.0*255";"1-0:50.4.0*255";"1-0:50.8.0*255";"1-0:51.4.0*255";"1-0:52.4.0*255";"1-0:53.4.0*255";"1-0:61.4.0*255";"1-0:61.8.0*255";"1-0:62.4.0*255";"1-0:62.8.0*255";"1-0:63.4.0*255";"1-0:63.8.0*255";"1-0:64.4.0*255";"1-0:64.8.0*255";"1-0:69.4.0*255";"1-0:69.8.0*255";"1-0:70.4.0*255";"1-0:70.8.0*255";"1-0:71.4.0*255";"1-0:72.4.0*255";"1-0:73.4.0*255"
"Timestamp";"UNIX-Timestamp";"Active power+";"Active energy+";"Active power-";"Active energy-";"Reactive power+";"Reactive energy+";"Reactive power-";"Reactive energy-";"Apparent power+";"Apparent energy+";"Apparent power-";"Apparent energy-";"Power factor";"Supply frequency";"Active power+ (L1)";"Active energy+ (L1)";"Active power- (L1)";"Active energy- (L1)";"Reactive power+ (L1)";"Reactive energy+ (L1)";"Reactive power- (L1)";"Reactive energy- (L1)";"Apparent power+ (L1)";"Apparent energy+ (L1)";"Apparent power- (L1)";"Apparent energy- (L1)";"Current (L1)";"Voltage (L1)";"Power factor (L1)";"Active power+ (L2)";"Active energy+ (L2)";"Active power- (L2)";"Active energy- (L2)";"Reactive power+ (L2)";"Reactive energy+ (L2)";"Reactive power- (L2)";"Reactive energy- (L2)";"Apparent power+ (L2)";"Apparent energy+ (L2)";"Apparent power- (L2)";"Apparent energy- (L2)";"Current (L2)";"Voltage (L2)";"Power factor (L2)";"Active power+ (L3)";"Active energy+ (L3)";"Active power- (L3)";"Active energy- (L3)";"Reactive power+ (L3)";"Reactive energy+ (L3)";"Reactive power- (L3)";"Reactive energy- (L3)";"Apparent power+ (L3)";"Apparent energy+ (L3)";"Apparent power- (L3)";"Apparent energy- (L3)";"Current (L3)";"Voltage (L3)";"Power factor (L3)"
"";"";"W";"Wh";"W";"Wh";"var";"varh";"var";"varh";"VA";"vah";"VA";"vah";"(unitless)";"Hz";"W";"Wh";"W";"Wh";"var";"varh";"var";"varh";"VA";"vah";"VA";"vah";"A";"V";"(unitless)";"W";"Wh";"W";"Wh";"var";"varh";"var";"varh";"VA";"vah";"VA";"vah";"A";"V";"(unitless)";"W";"Wh";"W";"Wh";"var";"varh";"var";"varh";"VA";"vah";"VA";"vah";"A";"V";"(unitless)"
Wed Nov 24 00:00:02 2021;1637708402.968093587;1179.3;6576198.4;0.0;36116492.2;0.0;4317300.2;333.4;2788993.5;1225.5;7348025.3;0.0;37228472.2;0.962;49.966;1102.9;4820835.1;0.0;11504336.2;0.0;1454454.8;153.4;1027566.8;1113.5;5076507.8;0.0;11843924.3;4.903;230.105;0.990;27.4;1220841.9;0.0;13131110.2;0.0;1430011.7;93.3;1000324.0;97.2;1542901.5;0.0;13537090.8;0.475;228.475;0.282;49.0;1451417.3;0.0;12397941.7;0.0;1452674.4;86.7;780943.2;99.6;1681350.2;0.0;12758514.0;0.546;229.469;0.492
Wed Nov 24 00:01:02 2021;1637708462.496197794;1169.1;6576217.9;0.0;36116492.2;0.0;4317300.2;330.3;2788999.0;1214.9;7348045.5;0.0;37228472.2;0.962;49.957;1106.1;4820853.5;0.0;11504336.2;0.0;1454454.8;151.7;1027569.3;1116.5;5076526.4;0.0;11843924.3;4.930;229.485;0.991;19.4;1220842.2;0.0;13131110.2;0.0;1430011.7;93.7;1000325.5;95.7;1542903.1;0.0;13537090.8;0.443;229.577;0.202;43.6;1451418.0;0.0;12397941.7;0.0;1452674.4;84.8;780944.6;95.4;1681351.8;0.0;12758514.0;0.521;229.585;0.457
Wed Nov 24 00:02:02 2021;1637708522.205637743;1179.7;6576237.3;0.0;36116492.2;0.0;4317300.2;332.0;2789004.5;1225.5;7348065.7;0.0;37228472.2;0.963;49.963;1113.3;4820871.9;0.0;11504336.2;0.0;1454454.8;152.7;1027571.8;1123.8;5076545.0;0.0;11843924.3;4.960;229.539;0.991;19.5;1220842.6;0.0;13131110.2;0.0;1430011.7;93.7;1000327.1;95.7;1542904.7;0.0;13537090.8;0.443;229.414;0.203;46.9;1451418.7;0.0;12397941.7;0.0;1452674.4;85.6;780946.0;97.6;1681353.4;0.0;12758514.0;0.541;229.440;0.480
Wed Nov 24 00:03:02 2021;1637708582.820794197;1176.6;6576257.1;0.0;36116492.2;0.0;4317300.2;332.6;2789010.0;1222.7;7348086.3;0.0;37228472.2;0.962;49.979;1110.5;4820890.5;0.0;11504336.2;0.0;1454454.8;151.8;1027574.4;1120.8;5076563.8;0.0;11843924.3;4.948;229.531;0.991;19.6;1220842.9;0.0;13131110.2;0.0;1430011.7;93.8;1000328.6;95.8;1542906.3;0.0;13537090.8;0.444;229.414;0.205;46.5;1451419.5;0.0;12397941.7;0.0;1452674.4;86.9;780947.5;98.6;1681355.0;0.0;12758514.0;0.525;229.383;0.471
Wed Nov 24 00:04:02 2021;1637708642.432566079;1176.0;6576276.5;0.0;36116492.2;0.0;4317300.2;331.3;2789015.5;1221.8;7348106.4;0.0;37228472.2;0.963;49.952;1109.3;4820908.9;0.0;11504336.2;0.0;1454454.8;152.9;1027576.9;1119.8;5076582.4;0.0;11843924.3;4.933;229.969;0.991;19.8;1220843.2;0.0;13131110.2;0.0;1430011.7;92.9;1000330.2;95.0;1542907.9;0.0;13537090.8;0.444;228.230;0.208;46.9;1451420.2;0.0;12397941.7;0.0;1452674.4;85.5;780948.9;97.5;1681356.5;0.0;12758514.0;0.539;229.164;0.481
Wed Nov 24 00:05:02 2021;1637708702.453323836;1174.0;6576296.2;0.0;36116492.2;0.0;4317300.2;331.4;2789021.0;1219.9;7348126.9;0.0;37228472.2;0.962;49.963;1109.2;4820927.5;0.0;11504336.2;0.0;1454454.8;152.6;1027579.5;1119.7;5076601.2;0.0;11843924.3;4.939;229.688;0.991;19.6;1220843.6;0.0;13131110.2;0.0;1430011.7;93.9;1000331.8;95.9;1542909.5;0.0;13537090.8;0.444;229.547;0.205;45.2;1451420.9;0.0;12397941.7;0.0;1452674.4;84.9;780950.3;96.2;1681358.1;0.0;12758514.0;0.529;229.581;0.470
Wed Nov 24 00:06:02 2021;1637708762.453344385;1174.4;6576315.7;0.0;36116492.2;0.0;4317300.2;329.9;2789026.5;1219.8;7348147.2;0.0;37228472.2;0.963;49.950;1107.9;4820946.0;0.0;11504336.2;0.0;1454454.8;151.5;1027582.0;1118.2;5076619.8;0.0;11843924.3;4.935;229.636;0.991;19.6;1220843.9;0.0;13131110.2;0.0;1430011.7;93.5;1000333.3;95.5;1542911.1;0.0;13537090.8;0.443;229.420;0.205;46.9;1451421.6;0.0;12397941.7;0.0;1452674.4;84.8;780951.7;96.9;1681359.7;0.0;12758514.0;0.538;229.517;0.484
Wed Nov 24 00:07:02 2021;1637708822.258310298;1169.4;6576335.1;0.0;36116492.2;0.0;4317300.2;330.5;2789032.0;1215.2;7348167.3;0.0;37228472.2;0.962;49.953;1108.4;4820964.3;0.0;11504336.2;0.0;1454454.8;152.6;1027584.5;1118.9;5076638.3;0.0;11843924.3;4.930;229.978;0.991;19.4;1220844.3;0.0;13131110.2;0.0;1430011.7;92.3;1000334.9;94.3;1542912.6;0.0;13537090.8;0.440;228.076;0.206;41.6;1451422.3;0.0;12397941.7;0.0;1452674.4;85.5;780953.1;95.1;1681361.3;0.0;12758514.0;0.512;229.145;0.437
