"Timestamp";"UNIX-Timestamp";"1-0:1.4.0*255";"1-0:1.8.0*255";"1-0:2.4.0*255";"1-0:2.8.0*255";"1-0:3.4.0*255";"1-0:3.8.0*255";"1-0:4.4.0*255";"1-0:4.8.0*255";"1-0:9.4.0*255";"1-0:9.8.0*255";"1-0:10.4.0*255";"1-0:10.8.0*255";"1-0:13.4.0*255";"1-0:14.4.0*255";"1-0:21.4.0*255";"1-0:21.8.0*255";"1-0:22.4.0*255";"1-0:22.8.0*255";"1-0:23.4.0*255";"1-0:23.8.0*255";"1-0:24.4.0*255";"1-0:24.8.0*255";"1-0:29.4.0*255";"1-0:29.8.0*255";"1-0:30.4.0*255";"1-0:30.8.0*255";"1-0:31.4.0*255";"1-0:32.4.0*255";"1-0:33.4.0*255";"1-0:41.4.0*255";"1-0:41.8.0*255";"1-0:42.4.0*255";"1-0:42.8.0*255";"1-0:43.4.0*255";"1-0:43.8.0*255";"1-0:44.4.0*255";"1-0:44.8.0*255";"1-0:49.4.0*255";"1-0:49.8.0*255";"1-0:50.4.0*255";"1-0:50.8.0*255";"1-0:51.4.0*255";"1-0:52.4.0*255";"1-0:53.4.0*255";"1-0:61.4.0*255";"1-0:61.8.0*255";"1-0:62.4.0*255";"1-0:62.8.0*255";"1-0:63.4.0*255";"1-0:63.8.0*255";"1-0:64.4.0*255";"1-0:64.8.0*255";"1-0:69.4.0*255";"1-0:69.8.0*255";"1-0:70.4.0*255";"1-0:70.8.0*255";"1-0:71.4.0*255";"1-0:72.4.0*255";"1-0:73.4.0*255"
"Timestamp";"UNIX-Timestamp";"Active power+";"Active energy+";"Active power-";"Active energy-";"Reactive power+";"Reactive energy+";"Reactive power-";"Reactive energy-";"Apparent power+";"Apparent energy+";"Apparent power-";"Apparent energy-";"Power factor";"Supply frequency";"Active power+ (L1)";"Active energy+ (L1)";"Active power- (L1)";"Active energy- (L1)";"Reactive power+ (L1)";"Reactive energy+ (L1)";"Reactive power- (L1)";"Reactive energy- (L1)";"Apparent power+ (L1)";"Apparent energy+ (L1)";"Apparent power- (L1)";"Apparent energy- (L1)";"Current (L1)";"Voltage (L1)";"Power factor (L1)";"Active power+ (L2)";"Active energy+ (L2)";"Active power- (L2)";"Active energy- (L2)";"Reactive power+ (L2)";"Reactive energy+ (L2)";"Reactive power- (L2)";"Reactive energy- (L2)";"Apparent power+ (L2)";"Apparent energy+ (L2)";"Apparent power- (L2)";"Apparent energy- (L2)";"Current (L2)";"Voltage (L2)";"Power factor (L2)";"Active power+ (L3)";"Active energy+ (L3)";"Active power- (L3)";"Active energy- (L3)";"Reactive power+ (L3)";"Reactive energy+ (L3)";"Reactive power- (L3)";"Reactive energy- (L3)";"Apparent power+ (L3)";"Apparent energy+ (L3)";"Apparent power- (L3)";"Apparent energy- (L3)";"Current (L3)";"Voltage (L3)";"Power factor (L3)"
"";"";"W";"Wh";"W";"Wh";"var";"varh";"var";"varh";"VA";"vah";"VA";"vah";"(unitless)";"Hz";"W";"Wh";"W";"Wh";"var";"varh";"var";"varh";"VA";"vah";"VA";"vah";"A";"V";"(unitless)";"W";"Wh";"W";"Wh";"var";"varh";"var";"varh";"VA";"vah";"VA";"vah";"A";"V";"(unitless)";"W";"Wh";"W";"Wh";"var";"varh";"var";"varh";"VA";"vah";"VA";"vah";"A";"V";"(unitless)"
Sun Apr  4 00:00:02 2021;1617487202.924926191;0.0;22762453.0;4.1;22666.7;21.2;651606.2;0.0;2256740.3;0.0;23453769.3;21.6;137635.1;-0.191;49.974;2.2;7644963.0;0.0;194.4;7.1;190422.3;0.0;791561.0;7.5;7909114.3;0.0;5558.1;0.033;227.951;0.297;0.0;7671154.6;0.1;876.7;7.2;241327.9;0.0;748240.1;0.0;7913678.4;7.2;32771.7;0.032;228.428;-0.009;0.0;7456194.6;6.3;31454.4;6.8;232854.7;0.0;729938.0;0.0;7678561.3;9.3;63611.2;0.040;228.663;-0.676
Sun Apr  4 00:01:02 2021;1617487262.482911016;0.0;22762453.0;4.1;22666.8;21.3;651606.5;0.0;2256740.3;0.0;23453769.3;21.7;137635.4;-0.190;49.942;2.1;7644963.0;0.0;194.4;7.4;190422.4;0.0;791561.0;7.7;7909114.5;0.0;5558.1;0.033;227.718;0.274;0.0;7671154.6;0.0;876.7;7.3;241328.0;0.0;748240.1;0.0;7913678.5;0.0;32771.8;0.032;228.211;-0.003;0.0;7456194.6;6.2;31454.5;6.7;232854.8;0.0;729938.0;0.0;7678561.3;9.1;63611.4;0.040;228.486;-0.682
Sun Apr  4 00:02:02 2021;1617487322.142297229;0.0;22762453.0;4.4;22666.8;21.4;651606.9;0.0;2256740.3;0.0;23453769.3;21.9;137635.8;-0.202;49.948;2.0;7644963.1;0.0;194.4;7.4;190422.5;0.0;791561.0;7.6;7909114.6;0.0;5558.1;0.033;227.772;0.268;0.0;7671154.6;0.1;876.8;7.2;241328.1;0.0;748240.1;0.0;7913678.6;7.2;32771.8;0.032;228.274;-0.013;0.0;7456194.6;6.4;31454.6;6.8;232855.0;0.0;729938.0;0.0;7678561.3;9.3;63611.5;0.041;228.470;-0.683
Sun Apr  4 00:03:02 2021;1617487382.457907163;0.0;22762453.0;3.8;22666.9;21.2;651607.2;0.0;2256740.3;0.0;23453769.3;21.5;137636.1;-0.177;49.968;2.2;7644963.1;0.0;194.4;7.2;190422.6;0.0;791561.0;7.6;7909114.7;0.0;5558.1;0.033;227.731;0.292;0.1;7671154.6;0.0;876.8;7.1;241328.3;0.0;748240.1;7.1;7913678.6;0.0;32771.9;0.032;228.165;0.009;0.0;7456194.6;6.1;31454.7;6.8;232855.1;0.0;729938.0;0.0;7678561.3;9.1;63611.7;0.040;228.380;-0.665
Sun Apr  4 00:04:02 2021;1617487442.344719976;0.0;22762453.0;4.2;22667.0;21.3;651607.6;0.0;2256740.3;0.0;23453769.3;21.7;137636.5;-0.194;49.966;2.1;7644963.2;0.0;194.4;7.2;190422.8;0.0;791561.0;7.5;7909114.8;0.0;5558.1;0.033;227.863;0.276;0.0;7671154.6;0.0;876.8;7.1;241328.4;0.0;748240.1;0.0;7913678.6;0.0;32772.0;0.032;228.453;0.005;0.0;7456194.6;6.3;31454.8;6.9;232855.2;0.0;729938.0;0.0;7678561.3;9.4;63611.9;0.041;228.524;-0.675
Sun Apr  4 00:05:02 2021;1617487502.442174244;0.0;22762453.0;4.6;22667.0;21.1;651607.9;0.0;2256740.3;0.0;23453769.3;21.6;137636.9;-0.214;49.977;1.9;7644963.2;0.0;194.4;7.1;190422.9;0.0;791561.0;7.4;7909115.0;0.0;5558.1;0.033;227.770;0.260;0.0;7671154.6;0.2;876.8;7.3;241328.5;0.0;748240.1;0.0;7913678.7;7.3;32772.1;0.032;228.367;-0.026;0.0;7456194.6;6.4;31454.9;6.7;232855.3;0.0;729938.0;0.0;7678561.3;9.2;63612.0;0.040;228.461;-0.688
Sun Apr  4 00:06:02 2021;1617487562.410766740;0.0;22762453.0;4.0;22667.1;21.6;651608.3;0.0;2256740.3;0.0;23453769.3;21.9;137637.2;-0.180;49.960;2.2;7644963.2;0.0;194.4;7.3;190423.0;0.0;791561.0;7.6;7909115.1;0.0;5558.1;0.033;227.756;0.284;0.1;7671154.6;0.0;876.8;7.4;241328.6;0.0;748240.1;7.4;7913678.7;0.0;32772.2;0.033;228.330;0.015;0.0;7456194.6;6.2;31455.0;6.9;232855.4;0.0;729938.0;0.0;7678561.3;9.3;63612.2;0.040;228.406;-0.672
Sun Apr  4 00:07:02 2021;1617487622.396177239;0.0;22762453.0;4.1;22667.2;21.3;651608.6;0.0;2256740.3;0.0;23453769.3;21.7;137637.6;-0.190;49.974;1.9;7644963.3;0.0;194.4;7.3;190423.1;0.0;791561.0;7.5;7909115.2;0.0;5558.1;0.033;227.799;0.254;0.1;7671154.6;0.0;876.8;7.2;241328.7;0.0;748240.1;7.3;7913678.8;0.0;32772.3;0.032;228.351;0.020;0.0;7456194.6;6.2;31455.1;6.8;232855.5;0.0;729938.0;0.0;7678561.3;9.2;63612.3;0.040;228.515;-0.674
