"Timestamp";"UNIX-Timestamp";"1-0:1.4.0*255";"1-0:1.8.0*255";"1-0:2.4.0*255";"1-0:2.8.0*255";"1-0:3.4.0*255";"1-0:3.8.0*255";"1-0:4.4.0*255";"1-0:4.8.0*255";"1-0:9.4.0*255";"1-0:9.8.0*255";"1-0:10.4.0*255";"1-0:10.8.0*255";"1-0:13.4.0*255";"1-0:14.4.0*255";"1-0:21.4.0*255";"1-0:21.8.0*255";"1-0:22.4.0*255";"1-0:22.8.0*255";"1-0:23.4.0*255";"1-0:23.8.0*255";"1-0:24.4.0*255";"1-0:24.8.0*255";"1-0:29.4.0*255";"1-0:29.8.0*255";"1-0:30.4.0*255";"1-0:30.8.0*255";"1-0:31.4.0*255";"1-0:32.4.0*255";"1-0:33.4.0*255";"1-0:41.4.0*255";"1-0:41.8.0*255";"1-0:42.4.0*255";"1-0:42.8.0*255";"1-0:43.4.0*255";"1-0:43.8.0*255";"1-0:44.4.0*255";"1-0:44.8.0*255";"1-0:49.4.0*255";"1-0:49.8.0*255";"1-0:50.4.0*255";"1-0:50.8.0*255";"1-0:51.4.0*255";"1-0:52.4.0*255";"1-0:53.4.0*255";"1-0:61.4.0*255";"1-0:61.8.0*255";"1-0:62.4.0*255";"1-0:62.8.0*255";"1-0:63.4.0*255";"1-0:63.8.0*255";"1-0:64.4.0*255";"1-0:64.8.0*255";"1-0:69.4.0*255";"1-0:69.8.0*255";"1-0:70.4.0*255";"1-0:70.8.0*255";"1-0:71.4.0*255";"1-0:72.4.0*255";"1-0:73.4.0*255"
"Timestamp";"UNIX-Timestamp";"Active power+";"Active energy+";"Active power-";"Active energy-";"Reactive power+";"Reactive energy+";"Reactive power-";"Reactive energy-";"Apparent power+";"Apparent energy+";"Apparent power-";"Apparent energy-";"Power factor";"Supply frequency";"Active power+ (L1)";"Active energy+ (L1)";"Active power- (L1)";"Active energy- (L1)";"Reactive power+ (L1)";"Reactive energy+ (L1)";"Reactive power- (L1)";"Reactive energy- (L1)";"Apparent power+ (L1)";"Apparent energy+ (L1)";"Apparent power- (L1)";"Apparent energy- (L1)";"Current (L1)";"Voltage (L1)";"Power factor (L1)";"Active power+ (L2)";"Active energy+ (L2)";"Active power- (L2)";"Active energy- (L2)";"Reactive power+ (L2)";"Reactive energy+ (L2)";"Reactive power- (L2)";"Reactive energy- (L2)";"Apparent power+ (L2)";"Apparent energy+ (L2)";"Apparent power- (L2)";"Apparent energy- (L2)";"Current (L2)";"Voltage (L2)";"Power factor (L2)";"Active power+ (L3)";"Active energy+ (L3)";"Active power- (L3)";"Active energy- (L3)";"Reactive power+ (L3)";"Reactive energy+ (L3)";"Reactive power- (L3)";"Reactive energy- (L3)";"Apparent power+ (L3)";"Apparent energy+ (L3)";"Apparent power- (L3)";"Apparent energy- (L3)";"Current (L3)";"Voltage (L3)";"Power factor (L3)"
"";"";"W";"Wh";"W";"Wh";"var";"varh";"var";"varh";"VA";"vah";"VA";"vah";"(unitless)";"Hz";"W";"Wh";"W";"Wh";"var";"varh";"var";"varh";"VA";"vah";"VA";"vah";"A";"V";"(unitless)";"W";"Wh";"W";"Wh";"var";"varh";"var";"varh";"VA";"vah";"VA";"vah";"A";"V";"(unitless)";"W";"Wh";"W";"Wh";"var";"varh";"var";"varh";"VA";"vah";"VA";"vah";"A";"V";"(unitless)"
Thu Aug 12 00:00:02 2021;1628719202.276041039;0.0;35536294.0;4.2;28961.4;21.6;879832.1;0.0;3439235.3;0.0;36444865.9;22.0;177800.0;-0.193;50.036;2.2;11922488.7;0.0;282.6;7.2;254359.1;0.0;1209298.0;7.5;12269422.5;0.0;7671.9;0.033;230.529;0.289;0.0;11974840.6;0.0;1158.1;7.4;327358.4;0.0;1138762.4;0.0;12293156.3;0.0;42002.8;0.032;230.975;0.000;0.0;11651606.8;6.4;40162.5;7.0;317523.9;0.0;1110584.3;0.0;11943012.4;9.5;82758.2;0.041;230.896;-0.677
Thu Aug 12 00:01:02 2021;1628719262.178798212;0.0;35536294.0;3.9;28961.5;21.5;879832.5;0.0;3439235.3;0.0;36444865.9;21.9;177800.4;-0.179;50.009;2.3;11922488.8;0.0;282.6;7.2;254359.2;0.0;1209298.0;7.6;12269422.6;0.0;7671.9;0.033;230.762;0.308;0.0;11974840.6;0.0;1158.1;7.3;327358.5;0.0;1138762.4;0.0;12293156.4;0.0;42002.9;0.032;231.162;0.003;0.0;11651606.8;6.3;40162.6;7.0;317524.0;0.0;1110584.3;0.0;11943012.4;9.4;82758.4;0.040;231.081;-0.668
Thu Aug 12 00:02:02 2021;1628719322.224515222;0.0;35536294.0;4.3;28961.5;21.8;879832.8;0.0;3439235.3;0.0;36444865.9;22.2;177800.8;-0.193;49.969;2.0;11922488.8;0.0;282.6;7.4;254359.3;0.0;1209298.0;7.7;12269422.7;0.0;7671.9;0.033;230.393;0.260;0.0;11974840.6;0.0;1158.1;7.2;327358.6;0.0;1138762.4;0.0;12293156.4;0.0;42003.0;0.032;230.762;0.000;0.0;11651606.8;6.3;40162.7;7.2;317524.1;0.0;1110584.3;0.0;11943012.4;9.5;82758.5;0.041;230.741;-0.660
Thu Aug 12 00:03:02 2021;1628719382.211589319;0.0;35536294.0;3.8;28961.6;21.4;879833.2;0.0;3439235.3;0.0;36444865.9;21.7;177801.1;-0.176;49.980;2.3;11922488.8;0.0;282.6;7.2;254359.5;0.0;1209298.0;7.6;12269422.8;0.0;7671.9;0.033;230.076;0.306;0.0;11974840.6;0.0;1158.1;7.4;327358.7;0.0;1138762.4;0.0;12293156.5;0.0;42003.1;0.032;230.546;0.003;0.0;11651606.8;6.2;40162.8;6.7;317524.2;0.0;1110584.3;0.0;11943012.4;9.1;82758.7;0.039;230.516;-0.676
Thu Aug 12 00:04:02 2021;1628719442.031931815;0.0;35536294.0;4.0;28961.7;21.4;879833.5;0.0;3439235.3;0.0;36444865.9;21.8;177801.5;-0.184;49.966;2.2;11922488.9;0.0;282.6;7.3;254359.6;0.0;1209298.0;7.6;12269423.0;0.0;7671.9;0.033;229.945;0.295;0.0;11974840.6;0.1;1158.1;7.3;327358.9;0.0;1138762.4;0.0;12293156.5;7.3;42003.1;0.032;230.356;-0.016;0.0;11651606.8;6.1;40162.9;6.9;317524.4;0.0;1110584.3;0.0;11943012.4;9.2;82758.8;0.040;230.348;-0.666
Thu Aug 12 00:05:02 2021;1628719502.129699550;0.0;35536294.0;3.9;28961.7;21.5;879833.9;0.0;3439235.3;0.0;36444865.9;21.8;177801.9;-0.178;49.965;2.3;11922488.9;0.0;282.6;7.3;254359.7;0.0;1209298.0;7.6;12269423.1;0.0;7671.9;0.033;229.886;0.296;0.0;11974840.6;0.0;1158.1;7.4;327359.0;0.0;1138762.4;0.0;12293156.6;0.0;42003.2;0.032;230.317;-0.003;0.0;11651606.8;6.1;40163.0;6.8;317524.5;0.0;1110584.3;0.0;11943012.4;9.2;82759.0;0.039;230.284;-0.667
Thu Aug 12 00:06:02 2021;1628719562.175019437;0.0;35536294.0;4.1;28961.8;21.3;879834.3;0.0;3439235.3;0.0;36444865.9;21.7;177802.2;-0.186;49.956;2.3;11922488.9;0.0;282.6;7.2;254359.8;0.0;1209298.0;7.5;12269423.2;0.0;7671.9;0.033;229.045;0.300;0.0;11974840.6;0.0;1158.1;7.2;327359.1;0.0;1138762.4;0.0;12293156.6;0.0;42003.3;0.032;230.092;-0.001;0.0;11651606.8;6.3;40163.1;6.9;317524.6;0.0;1110584.3;0.0;11943012.4;9.4;82759.1;0.041;230.158;-0.673
Thu Aug 12 00:07:01 2021;1628719621.848147109;0.0;35536294.0;4.1;28961.9;21.5;879834.6;0.0;3439235.3;0.0;36444865.9;21.9;177802.6;-0.185;49.964;2.2;11922489.0;0.0;282.6;7.4;254359.9;0.0;1209298.0;7.7;12269423.3;0.0;7671.9;0.033;229.817;0.284;0.0;11974840.6;0.2;1158.1;7.2;327359.2;0.0;1138762.4;0.0;12293156.7;7.2;42003.3;0.032;230.234;-0.023;0.0;11651606.8;6.1;40163.2;6.9;317524.7;0.0;1110584.3;0.0;11943012.4;9.2;82759.3;0.040;230.113;-0.659
