"Timestamp";"UNIX-Timestamp";"1-0:1.4.0*255";"1-0:1.8.0*255";"1-0:2.4.0*255";"1-0:2.8.0*255";"1-0:3.4.0*255";"1-0:3.8.0*255";"1-0:4.4.0*255";"1-0:4.8.0*255";"1-0:9.4.0*255";"1-0:9.8.0*255";"1-0:10.4.0*255";"1-0:10.8.0*255";"1-0:13.4.0*255";"1-0:14.4.0*255";"1-0:21.4.0*255";"1-0:21.8.0*255";"1-0:22.4.0*255";"1-0:22.8.0*255";"1-0:23.4.0*255";"1-0:23.8.0*255";"1-0:24.4.0*255";"1-0:24.8.0*255";"1-0:29.4.0*255";"1-0:29.8.0*255";"1-0:30.4.0*255";"1-0:30.8.0*255";"1-0:31.4.0*255";"1-0:32.4.0*255";"1-0:33.4.0*255";"1-0:41.4.0*255";"1-0:41.8.0*255";"1-0:42.4.0*255";"1-0:42.8.0*255";"1-0:43.4.0*255";"1-0:43.8.0*255";"1-0:44.4.0*255";"1-0:44.8.0*255";"1-0:49.4.0*255";"1-0:49.8.0*255";"1-0:50.4.0*255";"1-0:50.8.0*255";"1-0:51.4.0*255";"1-0:52.4.0*255";"1-0:53.4.0*255";"1-0:61.4.0*255";"1-0:61.8.0*255";"1-0:62.4.0*255";"1-0:62.8.0*255";"1-0:63.4.0*255";"1-0:63.8.0*255";"1-0:64.4.0*255";"1-0:64.8.0*255";"1-0:69.4.0*255";"1-0:69.8.0*255";"1-0:70.4.0*255";"1-0:70.8.0*255";"1-0:71.4.0*255";"1-0:72.4.0*255";"1-0:73.4.0*255"
"Timestamp";"UNIX-Timestamp";"Active power+";"Active energy+";"Active power-";"Active energy-";"Reactive power+";"Reactive energy+";"Reactive power-";"Reactive energy-";"Apparent power+";"Apparent energy+";"Apparent power-";"Apparent energy-";"Power factor";"Supply frequency";"Active power+ (L1)";"Active energy+ (L1)";"Active power- (L1)";"Active energy- (L1)";"Reactive power+ (L1)";"Reactive energy+ (L1)";"Reactive power- (L1)";"Reactive energy- (L1)";"Apparent power+ (L1)";"Apparent energy+ (L1)";"Apparent power- (L1)";"Apparent energy- (L1)";"Current (L1)";"Voltage (L1)";"Power factor (L1)";"Active power+ (L2)";"Active energy+ (L2)";"Active power- (L2)";"Active energy- (L2)";"Reactive power+ (L2)";"Reactive energy+ (L2)";"Reactive power- (L2)";"Reactive energy- (L2)";"Apparent power+ (L2)";"Apparent energy+ (L2)";"Apparent power- (L2)";"Apparent energy- (L2)";"Current (L2)";"Voltage (L2)";"Power factor (L2)";"Active power+ (L3)";"Active energy+ (L3)";"Active power- (L3)";"Active energy- (L3)";"Reactive power+ (L3)";"Reactive energy+ (L3)";"Reactive power- (L3)";"Reactive energy- (L3)";"Apparent power+ (L3)";"Apparent energy+ (L3)";"Apparent power- (L3)";"Apparent energy- (L3)";"Current (L3)";"Voltage (L3)";"Power factor (L3)"
"";"";"W";"Wh";"W";"Wh";"var";"varh";"var";"varh";"VA";"vah";"VA";"vah";"(unitless)";"Hz";"W";"Wh";"W";"Wh";"var";"varh";"var";"varh";"VA";"vah";"VA";"vah";"A";"V";"(unitless)";"W";"Wh";"W";"Wh";"var";"varh";"var";"varh";"VA";"vah";"VA";"vah";"A";"V";"(unitless)";"W";"Wh";"W";"Wh";"var";"varh";"var";"varh";"VA";"vah";"VA";"vah";"A";"V";"(unitless)"
Thu Oct 28 00:00:02 2021;1635372002.393315208;4.4;22802913.5;0.0;19169505.9;0.0;9452948.6;0.2;7055628.5;4.4;28601930.5;0.0;19279255.8;0.999;49.955;4.4;8969024.7;0.0;6295724.5;0.0;3032952.7;0.2;3572881.9;4.4;11505431.9;0.0;6366526.3;0.019;229.104;0.999;0.0;8306129.6;0.0;6487788.9;0.0;3623251.4;0.0;2156099.1;0.0;10198461.3;0.0;6662535.1;0.000;228.337;0.000;0.0;5528820.7;0.0;6387055.4;0.0;3101047.6;0.0;1630950.4;0.0;7342554.9;0.0;6495205.3;0.000;228.452;0.000
Thu Oct 28 00:01:01 2021;1635372061.893188844;4.2;22802913.6;0.0;19169505.9;0.0;9452948.6;0.0;7055628.5;4.2;28601930.6;0.0;19279255.8;1.000;49.946;4.2;8969024.8;0.0;6295724.5;0.0;3032952.7;0.0;3572881.9;4.2;11505431.9;0.0;6366526.3;0.018;229.280;1.000;0.0;8306129.6;0.0;6487788.9;0.0;3623251.4;0.0;2156099.1;0.0;10198461.3;0.0;6662535.1;0.000;228.636;0.000;0.0;5528820.7;0.0;6387055.4;0.0;3101047.6;0.0;1630950.4;0.0;7342554.9;0.0;6495205.3;0.000;228.719;0.000
Thu Oct 28 00:02:01 2021;1635372121.893392803;4.1;22802913.7;0.0;19169505.9;0.0;9452948.6;0.1;7055628.5;4.1;28601930.7;0.0;19279255.8;1.000;49.961;4.1;8969024.8;0.0;6295724.5;0.0;3032952.7;0.1;3572881.9;4.1;11505432.0;0.0;6366526.3;0.018;229.394;1.000;0.0;8306129.6;0.0;6487788.9;0.0;3623251.4;0.0;2156099.1;0.0;10198461.3;0.0;6662535.1;0.000;228.748;0.000;0.0;5528820.7;0.0;6387055.4;0.0;3101047.6;0.0;1630950.4;0.0;7342554.9;0.0;6495205.3;0.000;228.852;0.000
Thu Oct 28 00:03:02 2021;1635372182.352127547;4.6;22802913.7;0.0;19169505.9;0.0;9452948.6;0.2;7055628.5;4.6;28601930.7;0.0;19279255.8;0.999;49.949;4.6;8969024.9;0.0;6295724.5;0.0;3032952.7;0.2;3572881.9;4.6;11505432.1;0.0;6366526.3;0.019;229.310;0.999;0.0;8306129.6;0.0;6487788.9;0.0;3623251.4;0.0;2156099.1;0.0;10198461.3;0.0;6662535.1;0.000;228.546;0.000;0.0;5528820.7;0.0;6387055.4;0.0;3101047.6;0.0;1630950.4;0.0;7342554.9;0.0;6495205.3;0.000;228.761;0.000
Thu Oct 28 00:04:01 2021;1635372241.835858602;4.3;22802913.8;0.0;19169505.9;0.0;9452948.6;0.1;7055628.5;4.3;28601930.8;0.0;19279255.8;1.000;49.959;4.3;8969025.0;0.0;6295724.5;0.0;3032952.7;0.1;3572881.9;4.3;11505432.1;0.0;6366526.3;0.019;229.675;1.000;0.0;8306129.6;0.0;6487788.9;0.0;3623251.4;0.0;2156099.1;0.0;10198461.3;0.0;6662535.1;0.000;226.922;0.000;0.0;5528820.7;0.0;6387055.4;0.0;3101047.6;0.0;1630950.4;0.0;7342554.9;0.0;6495205.3;0.000;229.254;0.000
Thu Oct 28 00:05:01 2021;1635372301.823028506;4.3;22802913.9;0.0;19169505.9;0.0;9452948.6;0.1;7055628.5;4.3;28601930.9;0.0;19279255.8;1.000;49.956;4.3;8969025.0;0.0;6295724.5;0.0;3032952.7;0.1;3572881.9;4.3;11505432.2;0.0;6366526.3;0.019;229.798;1.000;0.0;8306129.6;0.0;6487788.9;0.0;3623251.4;0.0;2156099.1;0.0;10198461.3;0.0;6662535.1;0.000;227.086;0.000;0.0;5528820.7;0.0;6387055.4;0.0;3101047.6;0.0;1630950.4;0.0;7342554.9;0.0;6495205.3;0.000;229.356;0.000
Thu Oct 28 00:06:01 2021;1635372361.808885879;4.3;22802913.9;0.0;19169505.9;0.0;9452948.6;0.1;7055628.5;4.3;28601931.0;0.0;19279255.8;1.000;49.956;4.3;8969025.1;0.0;6295724.5;0.0;3032952.7;0.1;3572881.9;4.3;11505432.3;0.0;6366526.3;0.019;229.706;1.000;0.0;8306129.6;0.0;6487788.9;0.0;3623251.4;0.0;2156099.1;0.0;10198461.3;0.0;6662535.1;0.000;226.941;0.000;0.0;5528820.7;0.0;6387055.4;0.0;3101047.6;0.0;1630950.4;0.0;7342554.9;0.0;6495205.3;0.000;229.380;0.000
Thu Oct 28 00:07:01 2021;1635372421.794264676;4.2;22802914.0;0.0;19169505.9;0.0;9452948.6;0.1;7055628.5;4.2;28601931.0;0.0;19279255.8;1.000;49.956;4.2;8969025.2;0.0;6295724.5;0.0;3032952.7;0.1;3572881.9;4.2;11505432.3;0.0;6366526.3;0.018;229.712;1.000;0.0;8306129.6;0.0;6487788.9;0.0;3623251.4;0.0;2156099.1;0.0;10198461.3;0.0;6662535.1;0.000;226.921;0.000;0.0;5528820.7;0.0;6387055.4;0.0;3101047.6;0.0;1630950.4;0.0;7342554.9;0.0;6495205.3;0.000;229.234;0.000
