"Timestamp";"UNIX-Timestamp";"1-0:1.4.0*255";"1-0:1.8.0*255";"1-0:2.4.0*255";"1-0:2.8.0*255";"1-0:3.4.0*255";"1-0:3.8.0*255";"1-0:4.4.0*255";"1-0:4.8.0*255";"1-0:9.4.0*255";"1-0:9.8.0*255";"1-0:10.4.0*255";"1-0:10.8.0*255";"1-0:13.4.0*255";"1-0:14.4.0*255";"1-0:21.4.0*255";"1-0:21.8.0*255";"1-0:22.4.0*255";"1-0:22.8.0*255";"1-0:23.4.0*255";"1-0:23.8.0*255";"1-0:24.4.0*255";"1-0:24.8.0*255";"1-0:29.4.0*255";"1-0:29.8.0*255";"1-0:30.4.0*255";"1-0:30.8.0*255";"1-0:31.4.0*255";"1-0:32.4.0*255";"1-0:33.4.0*255";"1-0:41.4.0*255";"1-0:41.8.0*255";"1-0:42.4.0*255";"1-0:42.8.0*255";"1-0:43.4.0*255";"1-0:43.8.0*255";"1-0:44.4.0*255";"1-0:44.8.0*255";"1-0:49.4.0*255";"1-0:49.8.0*255";"1-0:50.4.0*255";"1-0:50.8.0*255";"1-0:51.4.0*255";"1-0:52.4.0*255";"1-0:53.4.0*255";"1-0:61.4.0*255";"1-0:61.8.0*255";"1-0:62.4.0*255";"1-0:62.8.0*255";"1-0:63.4.0*255";"1-0:63.8.0*255";"1-0:64.4.0*255";"1-0:64.8.0*255";"1-0:69.4.0*255";"1-0:69.8.0*255";"1-0:70.4.0*255";"1-0:70.8.0*255";"1-0:71.4.0*255";"1-0:72.4.0*255";"1-0:73.4.0*255"
"Timestamp";"UNIX-Timestamp";"Active power+";"Active energy+";"Active power-";"Active energy-";"Reactive power+";"Reactive energy+";"Reactive power-";"Reactive energy-";"Apparent power+";"Apparent energy+";"Apparent power-";"Apparent energy-";"Power factor";"Supply frequency";"Active power+ (L1)";"Active energy+ (L1)";"Active power- (L1)";"Active energy- (L1)";"Reactive power+ (L1)";"Reactive energy+ (L1)";"Reactive power- (L1)";"Reactive energy- (L1)";"Apparent power+ (L1)";"Apparent energy+ (L1)";"Apparent power- (L1)";"Apparent energy- (L1)";"Current (L1)";"Voltage (L1)";"Power factor (L1)";"Active power+ (L2)";"Active energy+ (L2)";"Active power- (L2)";"Active energy- (L2)";"Reactive power+ (L2)";"Reactive energy+ (L2)";"Reactive power- (L2)";"Reactive energy- (L2)";"Apparent power+ (L2)";"Apparent energy+ (L2)";"Apparent power- (L2)";"Apparent energy- (L2)";"Current (L2)";"Voltage (L2)";"Power factor (L2)";"Active power+ (L3)";"Active energy+ (L3)";"Active power- (L3)";"Active energy- (L3)";"Reactive power+ (L3)";"Reactive energy+ (L3)";"Reactive power- (L3)";"Reactive energy- (L3)";"Apparent power+ (L3)";"Apparent energy+ (L3)";"Apparent power- (L3)";"Apparent energy- (L3)";"Current (L3)";"Voltage (L3)";"Power factor (L3)"
"";"";"W";"Wh";"W";"Wh";"var";"varh";"var";"varh";"VA";"vah";"VA";"vah";"(unitless)";"Hz";"W";"Wh";"W";"Wh";"var";"varh";"var";"varh";"VA";"vah";"VA";"vah";"A";"V";"(unitless)";"W";"Wh";"W";"Wh";"var";"varh";"var";"varh";"VA";"vah";"VA";"vah";"A";"V";"(unitless)";"W";"Wh";"W";"Wh";"var";"varh";"var";"varh";"VA";"vah";"VA";"vah";"A";"V";"(unitless)"
Sun Apr  4 00:00:02 2021;1617487202.254336631;668.9;4155091.2;0.0;21190104.5;0.0;3110381.4;334.0;962448.8;747.6;4499705.1;0.0;21914993.6;0.895;49.973;615.3;2138208.0;0.0;7008547.4;0.0;1048171.6;142.9;309872.0;631.7;2231655.1;0.0;7246269.9;2.855;227.937;0.974;8.3;1085084.6;0.0;7364670.6;0.0;1035886.0;109.8;350449.1;110.1;1224323.0;0.0;7616725.8;0.488;228.483;0.076;45.2;1142034.7;0.0;7027122.6;0.0;1037728.7;81.3;313532.5;93.0;1258474.3;0.0;7270342.2;0.529;228.668;0.486
Sun Apr  4 00:01:01 2021;1617487261.646000957;689.8;4155102.2;0.0;21190104.5;0.0;3110381.4;335.2;962454.3;766.9;4499717.4;0.0;21914993.6;0.899;49.925;632.4;2138218.2;0.0;7008547.4;0.0;1048171.6;143.4;309874.3;648.5;2231665.6;0.0;7246269.9;2.928;227.636;0.975;8.1;1085084.7;0.0;7364670.6;0.0;1035886.0;109.8;350450.9;110.1;1224324.8;0.0;7616725.8;0.487;228.233;0.074;49.3;1142035.5;0.0;7027122.6;0.0;1037728.7;82.0;313533.9;95.6;1258475.8;0.0;7270342.2;0.556;228.422;0.515
Sun Apr  4 00:02:01 2021;1617487321.743778411;672.7;4155113.6;0.0;21190104.5;0.0;3110381.4;334.1;962459.9;751.0;4499730.0;0.0;21914993.6;0.896;49.958;615.8;2138228.6;0.0;7008547.4;0.0;1048171.6;142.6;309876.7;632.1;2231676.2;0.0;7246269.9;2.859;227.753;0.974;8.3;1085084.8;0.0;7364670.6;0.0;1035886.0;109.7;350452.7;110.0;1224326.7;0.0;7616725.8;0.487;228.362;0.075;48.6;1142036.2;0.0;7027122.6;0.0;1037728.7;81.9;313535.2;95.2;1258477.4;0.0;7270342.2;0.551;228.502;0.510
Sun Apr  4 00:03:02 2021;1617487382.210565599;687.7;4155124.9;0.0;21190104.5;0.0;3110381.4;335.7;962465.5;765.3;4499742.7;0.0;21914993.6;0.899;49.976;629.0;2138239.0;0.0;7008547.4;0.0;1048171.6;143.9;309879.1;645.2;2231686.9;0.0;7246269.9;2.917;227.690;0.975;8.5;1085085.0;0.0;7364670.6;0.0;1035886.0;109.6;350454.6;109.9;1224328.5;0.0;7616725.8;0.488;228.223;0.077;50.3;1142037.0;0.0;7027122.6;0.0;1037728.7;82.2;313536.6;96.3;1258479.0;0.0;7270342.2;0.567;228.357;0.522
Sun Apr  4 00:04:01 2021;1617487441.953300144;669.1;4155136.1;0.0;21190104.5;0.0;3110381.4;333.7;962471.1;747.7;4499755.2;0.0;21914993.6;0.895;49.963;616.2;2138249.3;0.0;7008547.4;0.0;1048171.6;142.2;309881.5;632.4;2231697.5;0.0;7246269.9;2.857;227.828;0.974;8.5;1085085.1;0.0;7364670.6;0.0;1035886.0;110.0;350456.4;110.3;1224330.3;0.0;7616725.8;0.488;228.492;0.077;44.4;1142037.8;0.0;7027122.6;0.0;1037728.7;81.4;313537.9;92.7;1258480.5;0.0;7270342.2;0.524;228.517;0.479
Sun Apr  4 00:05:02 2021;1617487502.051526913;667.7;4155147.3;0.0;21190104.5;0.0;3110381.4;333.0;962476.6;746.1;4499767.7;0.0;21914993.6;0.895;49.971;614.1;2138259.5;0.0;7008547.4;0.0;1048171.6;141.8;309883.9;630.3;2231708.0;0.0;7246269.9;2.850;227.743;0.974;8.5;1085085.3;0.0;7364670.6;0.0;1035886.0;109.8;350458.3;110.1;1224332.2;0.0;7616725.8;0.488;228.429;0.077;45.1;1142038.5;0.0;7027122.6;0.0;1037728.7;81.4;313539.3;93.0;1258482.1;0.0;7270342.2;0.529;228.455;0.485
Sun Apr  4 00:06:02 2021;1617487562.147224544;671.8;4155158.4;0.0;21190104.5;0.0;3110381.4;334.0;962482.2;750.2;4499780.1;0.0;21914993.6;0.895;49.960;614.4;2138269.8;0.0;7008547.4;0.0;1048171.6;142.5;309886.2;630.7;2231718.6;0.0;7246269.9;2.851;227.697;0.974;8.4;1085085.4;0.0;7364670.6;0.0;1035886.0;109.8;350460.1;110.2;1224334.0;0.0;7616725.8;0.488;228.335;0.076;49.0;1142039.3;0.0;7027122.6;0.0;1037728.7;81.7;313540.7;95.2;1258483.6;0.0;7270342.2;0.555;228.373;0.514
Sun Apr  4 00:07:01 2021;1617487621.760323597;673.4;4155169.7;0.0;21190104.5;0.0;3110381.4;334.6;962487.8;751.9;4499792.8;0.0;21914993.6;0.896;49.967;615.9;2138280.2;0.0;7008547.4;0.0;1048171.6;143.1;309888.6;632.3;2231729.3;0.0;7246269.9;2.858;227.747;0.974;8.3;1085085.5;0.0;7364670.6;0.0;1035886.0;109.6;350461.9;109.9;1224335.9;0.0;7616725.8;0.487;228.364;0.076;49.2;1142040.1;0.0;7027122.6;0.0;1037728.7;81.9;313542.0;95.5;1258485.2;0.0;7270342.2;0.557;228.469;0.515
