"Timestamp";"UNIX-Timestamp";"1-0:1.4.0*255";"1-0:1.8.0*255";"1-0:2.4.0*255";"1-0:2.8.0*255";"1-0:3.4.0*255";"1-0:3.8.0*255";"1-0:4.4.0*255";"1-0:4.8.0*255";"1-0:9.4.0*255";"1-0:9.8.0*255";"1-0:10.4.0*255";"1-0:10.8.0*255";"1-0:13.4.0*255";"1-0:14.4.0*255";"1-0:21.4.0*255";"1-0:21.8.0*255";"1-0:22.4.0*255";"1-0:22.8.0*255";"1-0:23.4.0*255";"1-0:23.8.0*255";"1-0:24.4.0*255";"1-0:24.8.0*255";"1-0:29.4.0*255";"1-0:29.8.0*255";"1-0:30.4.0*255";"1-0:30.8.0*255";"1-0:31.4.0*255";"1-0:32.4.0*255";"1-0:33.4.0*255";"1-0:41.4.0*255";"1-0:41.8.0*255";"1-0:42.4.0*255";"1-0:42.8.0*255";"1-0:43.4.0*255";"1-0:43.8.0*255";"1-0:44.4.0*255";"1-0:44.8.0*255";"1-0:49.4.0*255";"1-0:49.8.0*255";"1-0:50.4.0*255";"1-0:50.8.0*255";"1-0:51.4.0*255";"1-0:52.4.0*255";"1-0:53.4.0*255";"1-0:61.4.0*255";"1-0:61.8.0*255";"1-0:62.4.0*255";"1-0:62.8.0*255";"1-0:63.4.0*255";"1-0:63.8.0*255";"1-0:64.4.0*255";"1-0:64.8.0*255";"1-0:69.4.0*255";"1-0:69.8.0*255";"1-0:70.4.0*255";"1-0:70.8.0*255";"1-0:71.4.0*255";"1-0:72.4.0*255";"1-0:73.4.0*255"
"Timestamp";"UNIX-Timestamp";"Active power+";"Active energy+";"Active power-";"Active energy-";"Reactive power+";"Reactive energy+";"Reactive power-";"Reactive energy-";"Apparent power+";"Apparent energy+";"Apparent power-";"Apparent energy-";"Power factor";"Supply frequency";"Active power+ (L1)";"Active energy+ (L1)";"Active power- (L1)";"Active energy- (L1)";"Reactive power+ (L1)";"Reactive energy+ (L1)";"Reactive power- (L1)";"Reactive energy- (L1)";"Apparent power+ (L1)";"Apparent energy+ (L1)";"Apparent power- (L1)";"Apparent energy- (L1)";"Current (L1)";"Voltage (L1)";"Power factor (L1)";"Active power+ (L2)";"Active energy+ (L2)";"Active power- (L2)";"Active energy- (L2)";"Reactive power+ (L2)";"Reactive energy+ (L2)";"Reactive power- (L2)";"Reactive energy- (L2)";"Apparent power+ (L2)";"Apparent energy+ (L2)";"Apparent power- (L2)";"Apparent energy- (L2)";"Current (L2)";"Voltage (L2)";"Power factor (L2)";"Active power+ (L3)";"Active energy+ (L3)";"Active power- (L3)";"Active energy- (L3)";"Reactive power+ (L3)";"Reactive energy+ (L3)";"Reactive power- (L3)";"Reactive energy- (L3)";"Apparent power+ (L3)";"Apparent energy+ (L3)";"Apparent power- (L3)";"Apparent energy- (L3)";"Current (L3)";"Voltage (L3)";"Power factor (L3)"
"";"";"W";"Wh";"W";"Wh";"var";"varh";"var";"varh";"VA";"vah";"VA";"vah";"(unitless)";"Hz";"W";"Wh";"W";"Wh";"var";"varh";"var";"varh";"VA";"vah";"VA";"vah";"A";"V";"(unitless)";"W";"Wh";"W";"Wh";"var";"varh";"var";"varh";"VA";"vah";"VA";"vah";"A";"V";"(unitless)";"W";"Wh";"W";"Wh";"var";"varh";"var";"varh";"VA";"vah";"VA";"vah";"A";"V";"(unitless)"
Thu Jun 17 00:00:03 2021;1623880803.200682484;601.9;28404735.3;0.0;115872333.6;0.0;6327254.9;570.3;13144098.0;829.2;33062694.9;0.0;117081148.3;0.726;50.043;373.7;9208090.0;0.0;38244196.6;0.0;2085157.0;130.6;5575041.8;395.9;11303371.4;0.0;38629986.5;1.840;230.132;0.944;79.7;5706925.5;0.0;40915631.1;0.0;2100970.4;86.5;5270299.1;117.6;8124068.8;0.0;41434151.9;0.531;229.772;0.677;148.5;15457868.0;0.0;38680654.2;0.0;2883005.2;353.2;3040635.1;383.2;16891396.0;0.0;39106175.8;1.768;229.751;0.388
Thu Jun 17 00:01:02 2021;1623880862.187069840;610.5;28404745.4;0.0;115872333.6;0.0;6327254.9;569.5;13144107.4;834.8;33062708.6;0.0;117081148.3;0.731;50.020;382.7;9208096.4;0.0;38244196.6;0.0;2085157.0;129.9;5575043.9;404.1;11303378.0;0.0;38629986.5;1.900;230.128;0.947;79.8;5706926.9;0.0;40915631.1;0.0;2100970.4;86.5;5270300.5;117.7;8124070.7;0.0;41434151.9;0.532;229.782;0.678;147.9;15457870.4;0.0;38680654.2;0.0;2883005.2;353.0;3040640.9;382.8;16891402.3;0.0;39106175.8;1.766;229.801;0.387
Thu Jun 17 00:02:02 2021;1623880922.173128283;602.1;28404755.2;0.0;115872333.6;0.0;6327254.9;576.5;13144117.0;833.6;33062722.3;0.0;117081148.3;0.722;49.998;393.6;9208102.8;0.0;38244196.6;0.0;2085157.0;131.8;5575046.1;415.1;11303384.8;0.0;38629986.5;1.949;229.976;0.948;60.3;5706927.8;0.0;40915631.1;0.0;2100970.4;91.9;5270302.1;109.9;8124072.5;0.0;41434151.9;0.499;229.584;0.548;148.2;15457872.9;0.0;38680654.2;0.0;2883005.2;352.8;3040646.8;382.7;16891408.7;0.0;39106175.8;1.767;229.619;0.387
Thu Jun 17 00:03:02 2021;1623880982.673957509;560.8;28404765.1;0.0;115872333.6;0.0;6327254.9;575.3;13144126.6;803.4;33062736.1;0.0;117081148.3;0.698;49.988;352.5;9208109.1;0.0;38244196.6;0.0;2085157.0;131.9;5575048.3;376.3;11303391.5;0.0;38629986.5;1.766;229.805;0.937;60.0;5706928.8;0.0;40915631.1;0.0;2100970.4;91.8;5270303.6;109.6;8124074.4;0.0;41434151.9;0.498;229.388;0.547;148.4;15457875.4;0.0;38680654.2;0.0;2883005.2;351.7;3040652.7;381.7;16891415.1;0.0;39106175.8;1.766;229.407;0.389
Thu Jun 17 00:04:02 2021;1623881042.172652007;544.9;28404774.2;0.0;115872333.6;0.0;6327254.9;572.9;13144136.1;790.7;33062749.3;0.0;117081148.3;0.689;49.957;336.4;9208114.8;0.0;38244196.6;0.0;2085157.0;129.2;5575050.5;360.4;11303397.6;0.0;38629986.5;1.696;229.845;0.934;59.9;5706929.8;0.0;40915631.1;0.0;2100970.4;91.8;5270305.1;109.6;8124076.2;0.0;41434151.9;0.498;229.427;0.547;148.6;15457877.9;0.0;38680654.2;0.0;2883005.2;351.9;3040658.5;382.0;16891421.4;0.0;39106175.8;1.765;229.400;0.389
Thu Jun 17 00:05:02 2021;1623881102.130943643;544.3;28404783.3;0.0;115872333.6;0.0;6327254.9;573.4;13144145.7;790.6;33062762.5;0.0;117081148.3;0.688;49.980;335.9;9208120.4;0.0;38244196.6;0.0;2085157.0;129.4;5575052.6;360.0;11303403.6;0.0;38629986.5;1.694;229.889;0.933;59.9;5706930.8;0.0;40915631.1;0.0;2100970.4;91.9;5270306.7;109.7;8124078.0;0.0;41434151.9;0.499;229.487;0.546;148.4;15457880.3;0.0;38680654.2;0.0;2883005.2;352.1;3040664.4;382.1;16891427.8;0.0;39106175.8;1.766;229.449;0.388
Thu Jun 17 00:06:02 2021;1623881162.117332578;559.6;28404792.4;0.0;115872333.6;0.0;6327254.9;575.5;13144155.3;802.7;33062775.7;0.0;117081148.3;0.697;49.975;350.9;9208126.1;0.0;38244196.6;0.0;2085157.0;131.4;5575054.8;374.7;11303409.7;0.0;38629986.5;1.762;229.970;0.936;60.0;5706931.8;0.0;40915631.1;0.0;2100970.4;92.1;5270308.2;109.9;8124079.9;0.0;41434151.9;0.499;229.558;0.546;148.6;15457882.8;0.0;38680654.2;0.0;2883005.2;352.0;3040670.2;382.1;16891434.2;0.0;39106175.8;1.765;229.632;0.389
Thu Jun 17 00:07:02 2021;1623881222.103449429;480.7;28404800.5;0.0;115872333.6;0.0;6327254.9;564.7;13144164.7;741.6;33062788.1;0.0;117081148.3;0.648;49.974;272.7;9208130.7;0.0;38244196.6;0.0;2085157.0;119.8;5575056.8;297.8;11303414.7;0.0;38629986.5;1.439;230.187;0.915;60.4;5706932.8;0.0;40915631.1;0.0;2100970.4;92.1;5270309.7;110.1;8124081.7;0.0;41434151.9;0.501;229.720;0.548;147.7;15457885.3;0.0;38680654.2;0.0;2883005.2;352.7;3040676.1;382.4;16891440.5;0.0;39106175.8;1.764;229.776;0.386
