"Timestamp";"UNIX-Timestamp";"1-0:1.4.0*255";"1-0:1.8.0*255";"1-0:2.4.0*255";"1-0:2.8.0*255";"1-0:3.4.0*255";"1-0:3.8.0*255";"1-0:4.4.0*255";"1-0:4.8.0*255";"1-0:9.4.0*255";"1-0:9.8.0*255";"1-0:10.4.0*255";"1-0:10.8.0*255";"1-0:13.4.0*255";"1-0:14.4.0*255";"1-0:21.4.0*255";"1-0:21.8.0*255";"1-0:22.4.0*255";"1-0:22.8.0*255";"1-0:23.4.0*255";"1-0:23.8.0*255";"1-0:24.4.0*255";"1-0:24.8.0*255";"1-0:29.4.0*255";"1-0:29.8.0*255";"1-0:30.4.0*255";"1-0:30.8.0*255";"1-0:31.4.0*255";"1-0:32.4.0*255";"1-0:33.4.0*255";"1-0:41.4.0*255";"1-0:41.8.0*255";"1-0:42.4.0*255";"1-0:42.8.0*255";"1-0:43.4.0*255";"1-0:43.8.0*255";"1-0:44.4.0*255";"1-0:44.8.0*255";"1-0:49.4.0*255";"1-0:49.8.0*255";"1-0:50.4.0*255";"1-0:50.8.0*255";"1-0:51.4.0*255";"1-0:52.4.0*255";"1-0:53.4.0*255";"1-0:61.4.0*255";"1-0:61.8.0*255";"1-0:62.4.0*255";"1-0:62.8.0*255";"1-0:63.4.0*255";"1-0:63.8.0*255";"1-0:64.4.0*255";"1-0:64.8.0*255";"1-0:69.4.0*255";"1-0:69.8.0*255";"1-0:70.4.0*255";"1-0:70.8.0*255";"1-0:71.4.0*255";"1-0:72.4.0*255";"1-0:73.4.0*255"
"Timestamp";"UNIX-Timestamp";"Active power+";"Active energy+";"Active power-";"Active energy-";"Reactive power+";"Reactive energy+";"Reactive power-";"Reactive energy-";"Apparent power+";"Apparent energy+";"Apparent power-";"Apparent energy-";"Power factor";"Supply frequency";"Active power+ (L1)";"Active energy+ (L1)";"Active power- (L1)";"Active energy- (L1)";"Reactive power+ (L1)";"Reactive energy+ (L1)";"Reactive power- (L1)";"Reactive energy- (L1)";"Apparent power+ (L1)";"Apparent energy+ (L1)";"Apparent power- (L1)";"Apparent energy- (L1)";"Current (L1)";"Voltage (L1)";"Power factor (L1)";"Active power+ (L2)";"Active energy+ (L2)";"Active power- (L2)";"Active energy- (L2)";"Reactive power+ (L2)";"Reactive energy+ (L2)";"Reactive power- (L2)";"Reactive energy- (L2)";"Apparent power+ (L2)";"Apparent energy+ (L2)";"Apparent power- (L2)";"Apparent energy- (L2)";"Current (L2)";"Voltage (L2)";"Power factor (L2)";"Active power+ (L3)";"Active energy+ (L3)";"Active power- (L3)";"Active energy- (L3)";"Reactive power+ (L3)";"Reactive energy+ (L3)";"Reactive power- (L3)";"Reactive energy- (L3)";"Apparent power+ (L3)";"Apparent energy+ (L3)";"Apparent power- (L3)";"Apparent energy- (L3)";"Current (L3)";"Voltage (L3)";"Power factor (L3)"
"";"";"W";"Wh";"W";"Wh";"var";"varh";"var";"varh";"VA";"vah";"VA";"vah";"(unitless)";"Hz";"W";"Wh";"W";"Wh";"var";"varh";"var";"varh";"VA";"vah";"VA";"vah";"A";"V";"(unitless)";"W";"Wh";"W";"Wh";"var";"varh";"var";"varh";"VA";"vah";"VA";"vah";"A";"V";"(unitless)";"W";"Wh";"W";"Wh";"var";"varh";"var";"varh";"VA";"vah";"VA";"vah";"A";"V";"(unitless)"
Thu Jan 21 00:00:03 2021;1611183603.240588668;347.8;24645369.5;0.0;101441048.0;0.0;5105218.4;483.2;11785728.1;595.3;28703719.9;0.0;102469568.0;0.584;50.019;124.0;7848068.9;0.0;33636383.0;0.0;1662003.2;213.8;5064526.4;247.1;9719151.8;0.0;33965739.9;1.258;233.071;0.502;153.6;4634849.2;0.0;35861749.6;0.0;1686467.3;171.0;4804405.6;229.9;6796737.7;0.0;36310232.0;1.276;232.285;0.668;70.2;13976356.3;0.0;33756820.3;0.0;2438231.2;98.4;2598279.6;120.9;15167101.9;0.0;34106188.0;0.632;232.306;0.581
Thu Jan 21 00:01:02 2021;1611183662.693442623;346.1;24645375.0;0.0;101441048.0;0.0;5105218.4;484.3;11785736.1;595.3;28703729.6;0.0;102469568.0;0.581;50.042;123.9;7848070.9;0.0;33636383.0;0.0;1662003.2;214.5;5064530.0;247.7;9719155.9;0.0;33965739.9;1.257;233.270;0.500;152.8;4634851.5;0.0;35861749.6;0.0;1686467.3;171.5;4804408.4;229.7;6796741.3;0.0;36310232.0;1.269;232.505;0.665;69.4;13976357.5;0.0;33756820.3;0.0;2438231.2;98.3;2598281.2;120.3;15167103.9;0.0;34106188.0;0.627;232.536;0.576
Thu Jan 21 00:02:02 2021;1611183722.179151020;443.7;24645381.8;0.0;101441048.0;0.0;5105218.4;393.8;11785743.0;593.3;28703739.5;0.0;102469568.0;0.748;50.034;123.3;7848073.0;0.0;33636383.0;0.0;1662003.2;214.6;5064533.5;247.5;9719160.0;0.0;33965739.9;1.250;233.165;0.498;152.7;4634853.8;0.0;35861749.6;0.0;1686467.3;171.3;4804411.2;229.5;6796745.0;0.0;36310232.0;1.271;232.377;0.665;167.8;13976359.9;0.0;33756820.3;0.0;2438231.3;7.9;2598281.9;168.0;15167106.7;0.0;34106188.0;0.809;232.371;0.999
Thu Jan 21 00:03:02 2021;1611183782.665201581;493.6;24645389.2;0.0;101441048.0;0.0;5105218.4;394.8;11785749.5;632.1;28703749.4;0.0;102469568.0;0.781;49.995;125.1;7848075.0;0.0;33636383.0;0.0;1662003.2;213.7;5064537.1;247.6;9719164.1;0.0;33965739.9;1.256;233.075;0.505;152.2;4634856.1;0.0;35861749.6;0.0;1686467.3;170.9;4804414.1;228.8;6796748.7;0.0;36310232.0;1.265;232.250;0.665;216.4;13976362.9;0.0;33756820.3;0.0;2438231.4;10.2;2598282.0;216.7;15167109.7;0.0;34106188.0;1.006;232.188;0.999
Thu Jan 21 00:04:02 2021;1611183842.651412419;484.2;24645397.1;0.0;101441048.0;0.0;5105218.4;395.8;11785756.1;625.4;28703759.7;0.0;102469568.0;0.774;49.988;123.1;7848077.1;0.0;33636383.0;0.0;1662003.2;213.9;5064540.7;246.8;9719168.3;0.0;33965739.9;1.248;232.894;0.499;151.9;4634858.5;0.0;35861749.6;0.0;1686467.3;170.8;4804416.9;228.6;6796752.3;0.0;36310232.0;1.261;232.066;0.664;209.1;13976366.5;0.0;33756820.3;0.0;2438231.4;11.1;2598282.2;209.4;15167113.3;0.0;34106188.0;0.975;231.990;0.999
Thu Jan 21 00:05:02 2021;1611183902.640350476;479.6;24645404.9;0.0;101441048.0;0.0;5105218.4;394.6;11785762.7;621.0;28703769.9;0.0;102469568.0;0.772;49.975;123.2;7848079.1;0.0;33636383.0;0.0;1662003.2;213.2;5064544.2;246.3;9719172.4;0.0;33965739.9;1.248;232.582;0.500;152.3;4634860.8;0.0;35861749.6;0.0;1686467.3;169.8;4804419.7;228.1;6796756.0;0.0;36310232.0;1.266;231.510;0.668;204.0;13976369.9;0.0;33756820.3;0.0;2438231.4;11.6;2598282.4;204.4;15167116.7;0.0;34106188.0;0.958;231.761;0.998
Thu Jan 21 00:06:02 2021;1611183962.640316777;476.3;24645412.7;0.0;101441048.0;0.0;5105218.4;394.7;11785769.2;618.6;28703780.0;0.0;102469568.0;0.770;49.963;122.6;7848081.2;0.0;33636383.0;0.0;1662003.2;212.7;5064547.8;245.5;9719176.5;0.0;33965739.9;1.245;232.629;0.499;153.1;4634863.1;0.0;35861749.6;0.0;1686467.3;169.9;4804422.5;228.7;6796759.6;0.0;36310232.0;1.271;231.800;0.670;200.5;13976373.3;0.0;33756820.3;0.0;2438231.4;12.2;2598282.6;200.9;15167120.1;0.0;34106188.0;0.944;231.847;0.998
Thu Jan 21 00:07:02 2021;1611184022.640696599;370.9;24645419.5;0.0;101441048.0;0.0;5105218.4;386.8;11785775.7;535.9;28703789.4;0.0;102469568.0;0.692;49.976;122.6;7848083.2;0.0;33636383.0;0.0;1662003.2;212.3;5064551.3;245.1;9719180.5;0.0;33965739.9;1.247;232.708;0.500;123.5;4634865.0;0.0;35861749.6;0.0;1686467.3;162.9;4804425.3;204.4;6796762.9;0.0;36310232.0;1.193;231.888;0.604;124.9;13976376.2;0.0;33756820.3;0.0;2438231.4;11.6;2598282.8;125.4;15167123.0;0.0;34106188.0;0.584;231.922;0.996
