"Timestamp";"UNIX-Timestamp";"1-0:1.4.0*255";"1-0:1.8.0*255";"1-0:2.4.0*255";"1-0:2.8.0*255";"1-0:3.4.0*255";"1-0:3.8.0*255";"1-0:4.4.0*255";"1-0:4.8.0*255";"1-0:9.4.0*255";"1-0:9.8.0*255";"1-0:10.4.0*255";"1-0:10.8.0*255";"1-0:13.4.0*255";"1-0:14.4.0*255";"1-0:21.4.0*255";"1-0:21.8.0*255";"1-0:22.4.0*255";"1-0:22.8.0*255";"1-0:23.4.0*255";"1-0:23.8.0*255";"1-0:24.4.0*255";"1-0:24.8.0*255";"1-0:29.4.0*255";"1-0:29.8.0*255";"1-0:30.4.0*255";"1-0:30.8.0*255";"1-0:31.4.0*255";"1-0:32.4.0*255";"1-0:33.4.0*255";"1-0:41.4.0*255";"1-0:41.8.0*255";"1-0:42.4.0*255";"1-0:42.8.0*255";"1-0:43.4.0*255";"1-0:43.8.0*255";"1-0:44.4.0*255";"1-0:44.8.0*255";"1-0:49.4.0*255";"1-0:49.8.0*255";"1-0:50.4.0*255";"1-0:50.8.0*255";"1-0:51.4.0*255";"1-0:52.4.0*255";"1-0:53.4.0*255";"1-0:61.4.0*255";"1-0:61.8.0*255";"1-0:62.4.0*255";"1-0:62.8.0*255";"1-0:63.4.0*255";"1-0:63.8.0*255";"1-0:64.4.0*255";"1-0:64.8.0*255";"1-0:69.4.0*255";"1-0:69.8.0*255";"1-0:70.4.0*255";"1-0:70.8.0*255";"1-0:71.4.0*255";"1-0:72.4.0*255";"1-0:73.4.0*255"
"Timestamp";"UNIX-Timestamp";"Active power+";"Active energy+";"Active power-";"Active energy-";"Reactive power+";"Reactive energy+";"Reactive power-";"Reactive energy-";"Apparent power+";"Apparent energy+";"Apparent power-";"Apparent energy-";"Power factor";"Supply frequency";"Active power+ (L1)";"Active energy+ (L1)";"Active power- (L1)";"Active energy- (L1)";"Reactive power+ (L1)";"Reactive energy+ (L1)";"Reactive power- (L1)";"Reactive energy- (L1)";"Apparent power+ (L1)";"Apparent energy+ (L1)";"Apparent power- (L1)";"Apparent energy- (L1)";"Current (L1)";"Voltage (L1)";"Power factor (L1)";"Active power+ (L2)";"Active energy+ (L2)";"Active power- (L2)";"Active energy- (L2)";"Reactive power+ (L2)";"Reactive energy+ (L2)";"Reactive power- (L2)";"Reactive energy- (L2)";"Apparent power+ (L2)";"Apparent energy+ (L2)";"Apparent power- (L2)";"Apparent energy- (L2)";"Current (L2)";"Voltage (L2)";"Power factor (L2)";"Active power+ (L3)";"Active energy+ (L3)";"Active power- (L3)";"Active energy- (L3)";"Reactive power+ (L3)";"Reactive energy+ (L3)";"Reactive power- (L3)";"Reactive energy- (L3)";"Apparent power+ (L3)";"Apparent energy+ (L3)";"Apparent power- (L3)";"Apparent energy- (L3)";"Current (L3)";"Voltage (L3)";"Power factor (L3)"
"";"";"W";"Wh";"W";"Wh";"var";"varh";"var";"varh";"VA";"vah";"VA";"vah";"(unitless)";"Hz";"W";"Wh";"W";"Wh";"var";"varh";"var";"varh";"VA";"vah";"VA";"vah";"A";"V";"(unitless)";"W";"Wh";"W";"Wh";"var";"varh";"var";"varh";"VA";"vah";"VA";"vah";"A";"V";"(unitless)";"W";"Wh";"W";"Wh";"var";"varh";"var";"varh";"VA";"vah";"VA";"vah";"A";"V";"(unitless)"
Fri Apr  2 00:00:02 2021;1617314402.649640230;0.0;22623557.5;4.0;22556.3;21.4;648481.3;0.0;2247023.6;0.0;23312979.4;21.7;136997.2;-0.183;49.969;2.1;7598349.7;0.0;193.8;7.3;189499.8;0.0;788088.8;7.6;7861715.5;0.0;5539.1;0.033;230.170;0.277;0.0;7624390.1;0.0;875.0;7.1;240182.7;0.0;745049.3;0.0;7866209.2;0.0;32638.1;0.031;230.310;0.004;0.0;7410626.9;6.1;31296.3;6.9;231737.1;0.0;726824.0;0.0;7632384.5;9.2;63321.0;0.040;230.160;-0.664
Fri Apr  2 00:01:02 2021;1617314462.120286983;0.0;22623557.5;4.1;22556.3;21.7;648481.7;0.0;2247023.6;0.0;23312979.4;22.1;136997.6;-0.187;49.956;2.1;7598349.7;0.0;193.8;7.4;189500.0;0.0;788088.8;7.7;7861715.6;0.0;5539.1;0.033;230.041;0.270;0.0;7624390.1;0.1;875.0;7.3;240182.8;0.0;745049.3;0.0;7866209.2;7.3;32638.2;0.032;230.216;-0.010;0.0;7410626.9;6.1;31296.4;7.0;231737.2;0.0;726824.0;0.0;7632384.5;9.3;63321.1;0.040;230.039;-0.657
Fri Apr  2 00:02:02 2021;1617314522.104851840;0.0;22623557.5;4.1;22556.4;21.8;648482.1;0.0;2247023.6;0.0;23312979.4;22.2;136997.9;-0.187;49.972;2.1;7598349.8;0.0;193.8;7.5;189500.1;0.0;788088.8;7.8;7861715.8;0.0;5539.1;0.033;230.134;0.275;0.0;7624390.1;0.0;875.0;7.3;240183.0;0.0;745049.3;0.0;7866209.3;0.0;32638.3;0.032;230.313;-0.004;0.0;7410626.9;6.3;31296.5;7.0;231737.4;0.0;726824.0;0.0;7632384.5;9.4;63321.3;0.041;230.167;-0.665
Fri Apr  2 00:03:02 2021;1617314582.456792559;0.0;22623557.5;4.0;22556.5;21.7;648482.4;0.0;2247023.6;0.0;23312979.4;22.1;136998.3;-0.182;49.941;2.3;7598349.8;0.0;193.8;7.5;189500.2;0.0;788088.8;7.8;7861715.9;0.0;5539.1;0.034;230.074;0.295;0.0;7624390.1;0.1;875.0;7.3;240183.1;0.0;745049.3;0.0;7866209.3;7.3;32638.3;0.032;230.233;-0.012;0.0;7410626.9;6.2;31296.6;7.0;231737.5;0.0;726824.0;0.0;7632384.5;9.3;63321.4;0.041;230.025;-0.667
Fri Apr  2 00:04:02 2021;1617314642.050117302;0.0;22623557.5;4.2;22556.5;21.6;648482.8;0.0;2247023.6;0.0;23312979.4;22.0;136998.7;-0.191;49.953;2.1;7598349.8;0.0;193.8;7.4;189500.3;0.0;788088.8;7.7;7861716.0;0.0;5539.1;0.033;229.780;0.270;0.0;7624390.1;0.1;875.0;7.2;240183.2;0.0;745049.3;0.0;7866209.3;7.2;32638.4;0.032;229.817;-0.010;0.0;7410626.9;6.2;31296.7;7.0;231737.6;0.0;726824.0;0.0;7632384.5;9.3;63321.6;0.040;229.670;-0.665
Fri Apr  2 00:05:02 2021;1617314702.061525358;0.0;22623557.5;4.1;22556.6;21.6;648483.2;0.0;2247023.6;0.0;23312979.4;22.0;136999.0;-0.186;49.955;2.2;7598349.9;0.0;193.8;7.3;189500.5;0.0;788088.8;7.7;7861716.2;0.0;5539.1;0.033;229.749;0.292;0.0;7624390.1;0.1;875.0;7.4;240183.3;0.0;745049.3;0.0;7866209.4;7.4;32638.5;0.033;229.839;-0.018;0.0;7410626.9;6.2;31296.8;6.9;231737.7;0.0;726824.0;0.0;7632384.5;9.3;63321.8;0.040;229.693;-0.669
Fri Apr  2 00:06:02 2021;1617314762.056518979;0.0;22623557.5;4.0;22556.7;21.6;648483.5;0.0;2247023.6;0.0;23312979.4;22.0;136999.4;-0.184;49.948;2.1;7598349.9;0.0;193.8;7.3;189500.6;0.0;788088.8;7.6;7861716.3;0.0;5539.1;0.033;229.527;0.278;0.1;7624390.1;0.0;875.0;7.5;240183.5;0.0;745049.3;7.5;7866209.4;0.0;32638.6;0.033;229.655;0.013;0.0;7410626.9;6.3;31296.9;6.8;231737.8;0.0;726824.0;0.0;7632384.5;9.3;63321.9;0.040;229.431;-0.677
Fri Apr  2 00:07:02 2021;1617314822.056835215;0.0;22623557.5;4.3;22556.7;21.5;648483.9;0.0;2247023.6;0.0;23312979.4;21.9;136999.8;-0.194;49.965;2.0;7598349.9;0.0;193.8;7.3;189500.7;0.0;788088.8;7.6;7861716.4;0.0;5539.1;0.033;229.563;0.268;0.0;7624390.1;0.2;875.0;7.4;240183.6;0.0;745049.3;0.0;7866209.5;7.4;32638.6;0.033;229.740;-0.022;0.0;7410626.9;6.1;31297.0;6.8;231737.9;0.0;726824.0;0.0;7632384.5;9.2;63322.1;0.040;229.474;-0.668
