"Timestamp";"UNIX-Timestamp";"1-0:1.4.0*255";"1-0:1.8.0*255";"1-0:2.4.0*255";"1-0:2.8.0*255";"1-0:3.4.0*255";"1-0:3.8.0*255";"1-0:4.4.0*255";"1-0:4.8.0*255";"1-0:9.4.0*255";"1-0:9.8.0*255";"1-0:10.4.0*255";"1-0:10.8.0*255";"1-0:13.4.0*255";"1-0:14.4.0*255";"1-0:21.4.0*255";"1-0:21.8.0*255";"1-0:22.4.0*255";"1-0:22.8.0*255";"1-0:23.4.0*255";"1-0:23.8.0*255";"1-0:24.4.0*255";"1-0:24.8.0*255";"1-0:29.4.0*255";"1-0:29.8.0*255";"1-0:30.4.0*255";"1-0:30.8.0*255";"1-0:31.4.0*255";"1-0:32.4.0*255";"1-0:33.4.0*255";"1-0:41.4.0*255";"1-0:41.8.0*255";"1-0:42.4.0*255";"1-0:42.8.0*255";"1-0:43.4.0*255";"1-0:43.8.0*255";"1-0:44.4.0*255";"1-0:44.8.0*255";"1-0:49.4.0*255";"1-0:49.8.0*255";"1-0:50.4.0*255";"1-0:50.8.0*255";"1-0:51.4.0*255";"1-0:52.4.0*255";"1-0:53.4.0*255";"1-0:61.4.0*255";"1-0:61.8.0*255";"1-0:62.4.0*255";"1-0:62.8.0*255";"1-0:63.4.0*255";"1-0:63.8.0*255";"1-0:64.4.0*255";"1-0:64.8.0*255";"1-0:69.4.0*255";"1-0:69.8.0*255";"1-0:70.4.0*255";"1-0:70.8.0*255";"1-0:71.4.0*255";"1-0:72.4.0*255";"1-0:73.4.0*255"
"Timestamp";"UNIX-Timestamp";"Active power+";"Active energy+";"Active power-";"Active energy-";"Reactive power+";"Reactive energy+";"Reactive power-";"Reactive energy-";"Apparent power+";"Apparent energy+";"Apparent power-";"Apparent energy-";"Power factor";"Supply frequency";"Active power+ (L1)";"Active energy+ (L1)";"Active power- (L1)";"Active energy- (L1)";"Reactive power+ (L1)";"Reactive energy+ (L1)";"Reactive power- (L1)";"Reactive energy- (L1)";"Apparent power+ (L1)";"Apparent energy+ (L1)";"Apparent power- (L1)";"Apparent energy- (L1)";"Current (L1)";"Voltage (L1)";"Power factor (L1)";"Active power+ (L2)";"Active energy+ (L2)";"Active power- (L2)";"Active energy- (L2)";"Reactive power+ (L2)";"Reactive energy+ (L2)";"Reactive power- (L2)";"Reactive energy- (L2)";"Apparent power+ (L2)";"Apparent energy+ (L2)";"Apparent power- (L2)";"Apparent energy- (L2)";"Current (L2)";"Voltage (L2)";"Power factor (L2)";"Active power+ (L3)";"Active energy+ (L3)";"Active power- (L3)";"Active energy- (L3)";"Reactive power+ (L3)";"Reactive energy+ (L3)";"Reactive power- (L3)";"Reactive energy- (L3)";"Apparent power+ (L3)";"Apparent energy+ (L3)";"Apparent power- (L3)";"Apparent energy- (L3)";"Current (L3)";"Voltage (L3)";"Power factor (L3)"
"";"";"W";"Wh";"W";"Wh";"var";"varh";"var";"varh";"VA";"vah";"VA";"vah";"(unitless)";"Hz";"W";"Wh";"W";"Wh";"var";"varh";"var";"varh";"VA";"vah";"VA";"vah";"A";"V";"(unitless)";"W";"Wh";"W";"Wh";"var";"varh";"var";"varh";"VA";"vah";"VA";"vah";"A";"V";"(unitless)";"W";"Wh";"W";"Wh";"var";"varh";"var";"varh";"VA";"vah";"VA";"vah";"A";"V";"(unitless)"
Sun Oct 10 00:00:02 2021;1633816802.393355681;4.5;22800360.4;0.0;17984364.9;0.0;9433717.9;0.1;6937862.8;4.5;28525453.7;0.0;18083736.3;1.000;49.991;4.5;8966263.8;0.0;5909246.5;0.0;3025118.9;0.1;3529514.0;4.5;11476895.5;0.0;5973862.1;0.019;227.589;1.000;0.0;8306105.6;0.0;6082953.5;0.0;3615124.9;0.0;2115340.6;0.0;10196832.2;0.0;6228251.6;0.000;227.354;0.000;0.0;5528802.7;0.0;5992978.0;0.0;3091039.2;0.0;1590573.1;0.0;7325696.8;0.0;6086119.9;0.000;226.813;0.000
Sun Oct 10 00:01:01 2021;1633816861.893123651;4.5;22800360.5;0.0;17984364.9;0.0;9433717.9;0.3;6937862.8;4.5;28525453.7;0.0;18083736.3;0.998;49.987;4.5;8966263.8;0.0;5909246.5;0.0;3025118.9;0.3;3529514.0;4.5;11476895.6;0.0;5973862.1;0.019;227.467;0.998;0.0;8306105.6;0.0;6082953.5;0.0;3615124.9;0.0;2115340.6;0.0;10196832.2;0.0;6228251.6;0.000;227.123;0.000;0.0;5528802.7;0.0;5992978.0;0.0;3091039.2;0.0;1590573.1;0.0;7325696.8;0.0;6086119.9;0.000;226.492;0.000
Sun Oct 10 00:02:01 2021;1633816921.843391170;4.5;22800360.6;0.0;17984364.9;0.0;9433717.9;0.2;6937862.8;4.5;28525453.8;0.0;18083736.3;0.999;49.962;4.5;8966263.9;0.0;5909246.5;0.0;3025118.9;0.2;3529514.0;4.5;11476895.7;0.0;5973862.1;0.019;231.132;0.999;0.0;8306105.6;0.0;6082953.5;0.0;3615124.9;0.0;2115340.6;0.0;10196832.2;0.0;6228251.6;0.000;230.750;0.000;0.0;5528802.7;0.0;5992978.0;0.0;3091039.2;0.0;1590573.1;0.0;7325696.8;0.0;6086119.9;0.000;230.004;0.000
Sun Oct 10 00:03:02 2021;1633816982.329289704;4.4;22800360.6;0.0;17984364.9;0.0;9433717.9;0.3;6937862.8;4.4;28525453.9;0.0;18083736.3;0.997;49.966;4.4;8966264.0;0.0;5909246.5;0.0;3025118.9;0.3;3529514.0;4.4;11476895.7;0.0;5973862.1;0.019;230.856;0.997;0.0;8306105.6;0.0;6082953.5;0.0;3615124.9;0.0;2115340.6;0.0;10196832.2;0.0;6228251.6;0.000;230.578;0.000;0.0;5528802.7;0.0;5992978.0;0.0;3091039.2;0.0;1590573.1;0.0;7325696.8;0.0;6086119.9;0.000;229.785;0.000
Sun Oct 10 00:04:01 2021;1633817041.816632585;4.5;22800360.7;0.0;17984364.9;0.0;9433717.9;0.1;6937862.8;4.5;28525453.9;0.0;18083736.3;1.000;49.963;4.5;8966264.0;0.0;5909246.5;0.0;3025118.9;0.1;3529514.0;4.5;11476895.8;0.0;5973862.1;0.019;230.984;1.000;0.0;8306105.6;0.0;6082953.5;0.0;3615124.9;0.0;2115340.6;0.0;10196832.2;0.0;6228251.6;0.000;230.614;0.000;0.0;5528802.7;0.0;5992978.0;0.0;3091039.2;0.0;1590573.1;0.0;7325696.8;0.0;6086119.9;0.000;229.861;0.000
Sun Oct 10 00:05:01 2021;1633817101.802217422;4.4;22800360.8;0.0;17984364.9;0.0;9433717.9;0.1;6937862.8;4.4;28525454.0;0.0;18083736.3;1.000;49.952;4.4;8966264.1;0.0;5909246.5;0.0;3025118.9;0.1;3529514.0;4.4;11476895.9;0.0;5973862.1;0.019;230.311;1.000;0.0;8306105.6;0.0;6082953.5;0.0;3615124.9;0.0;2115340.6;0.0;10196832.2;0.0;6228251.6;0.000;230.114;0.000;0.0;5528802.7;0.0;5992978.0;0.0;3091039.2;0.0;1590573.1;0.0;7325696.8;0.0;6086119.9;0.000;229.334;0.000
Sun Oct 10 00:06:01 2021;1633817161.792714382;4.4;22800360.8;0.0;17984364.9;0.0;9433717.9;0.1;6937862.8;4.4;28525454.1;0.0;18083736.3;1.000;49.949;4.4;8966264.2;0.0;5909246.5;0.0;3025118.9;0.1;3529514.0;4.4;11476895.9;0.0;5973862.1;0.019;230.583;1.000;0.0;8306105.6;0.0;6082953.5;0.0;3615124.9;0.0;2115340.6;0.0;10196832.2;0.0;6228251.6;0.000;230.215;0.000;0.0;5528802.7;0.0;5992978.0;0.0;3091039.2;0.0;1590573.1;0.0;7325696.8;0.0;6086119.9;0.000;229.590;0.000
Sun Oct 10 00:07:01 2021;1633817221.793068267;4.3;22800360.9;0.0;17984364.9;0.0;9433717.9;0.0;6937862.8;4.3;28525454.1;0.0;18083736.3;1.000;49.936;4.3;8966264.2;0.0;5909246.5;0.0;3025118.9;0.0;3529514.0;4.3;11476896.0;0.0;5973862.1;0.019;230.592;1.000;0.0;8306105.6;0.0;6082953.5;0.0;3615124.9;0.0;2115340.6;0.0;10196832.2;0.0;6228251.6;0.000;230.243;0.000;0.0;5528802.7;0.0;5992978.0;0.0;3091039.2;0.0;1590573.1;0.0;7325696.8;0.0;6086119.9;0.000;229.757;0.000
