Index,GridPowerOut,p_netzeinspeisung_8000Wh_eigenverbrauch,p_netzbezug_8000Wh_eigenverbrauch,p_netzeinspeisung_8000Wh_netzdienlich,p_netzbezug_8000Wh_netzdienlich,Leere Spalte,Liste_Einspeisungen_abfallend,Leistung_Einspeisungen_abfallend,Liste_Speicherzeitpunkte,Leistung_Speicherzeitpunkte
2021-05-28 00:00:00,0.0,0.0,11.863333333333333,0.0,11.863333333333333,,2021-05-28 13:38:00,913.628,2021-05-28 13:38:00,913.628
2021-05-28 00:01:00,0.0,0.0,11.808333333333334,0.0,11.808333333333334,,2021-05-28 14:47:00,890.753,2021-05-28 14:47:00,890.753
2021-05-28 00:02:00,0.0,0.0,12.834999999999999,0.0,12.834999999999999,,2021-05-28 13:53:00,888.852,2021-05-28 13:53:00,888.852
2021-05-28 00:03:00,0.0,0.0,13.285,0.0,13.285,,2021-05-28 13:39:00,883.79,2021-05-28 13:39:00,883.79
2021-05-28 00:04:00,0.0,0.0,26.23,0.0,26.23,,2021-05-28 12:43:00,883.693,2021-05-28 12:43:00,883.693
2021-05-28 00:05:00,0.0,0.0,43.62,0.0,43.62,,2021-05-28 14:48:00,882.897,2021-05-28 14:48:00,882.897
2021-05-28 00:06:00,0.0,0.0,44.66333333333333,0.0,44.66333333333333,,2021-05-28 13:40:00,882.273,2021-05-28 13:40:00,882.273
2021-05-28 00:07:00,0.0,0.0,41.72666666666667,0.0,41.72666666666667,,2021-05-28 14:17:00,881.695,2021-05-28 14:17:00,881.695
2021-05-28 00:08:00,0.0,0.0,42.318333333333335,0.0,42.318333333333335,,2021-05-28 12:09:00,880.09,2021-05-28 12:09:00,880.09
2021-05-28 00:09:00,0.0,0.0,43.08,0.0,43.08,,2021-05-28 14:49:00,880.035,2021-05-28 14:49:00,880.035
2021-05-28 00:10:00,0.0,0.0,43.64833333333333,0.0,43.64833333333333,,2021-05-28 12:10:00,877.615,2021-05-28 12:10:00,877.615
2021-05-28 00:11:00,0.0,0.0,45.685,0.0,45.685,,2021-05-28 13:54:00,872.128,2021-05-28 13:54:00,872.128
